field,n_valid,n_missing,coverage_pct,source
breakout_event_id,1124302,0,100.0,calendar/date or as-of tau fact
code,1124302,0,100.0,calendar/date or as-of tau fact
breakout_day,1124302,0,100.0,calendar/date or as-of tau fact
tau,1124302,0,100.0,calendar/date or as-of tau fact
observation_date,1109703,14599,98.7015,calendar/date or as-of tau fact
source_date,1107347,16955,98.492,calendar/date or as-of tau fact
calendar_in_dataset,1124302,0,100.0,calendar/date or as-of tau fact
row_present,1124302,0,100.0,calendar/date or as-of tau fact
adj_factor_available,1124302,0,100.0,calendar/date or as-of tau fact
volume_valid,1124302,0,100.0,calendar/date or as-of tau fact
ref20_obs_n,1124302,0,100.0,calendar/date or as-of tau fact
ref60_obs_n,1124302,0,100.0,calendar/date or as-of tau fact
close_rel_t0_log,1102771,21531,98.0849,calendar/date or as-of tau fact
mkt_excess_rel_t0_log,1102771,21531,98.0849,calendar/date or as-of tau fact
distance_to_ref20,1107347,16955,98.492,calendar/date or as-of tau fact
distance_to_ref60,1102771,21531,98.0849,calendar/date or as-of tau fact
running_peak_return,1119710,4592,99.5916,calendar/date or as-of tau fact
drawdown_from_running_peak,1102771,21531,98.0849,calendar/date or as-of tau fact
max_drawdown_to_tau,1119710,4592,99.5916,calendar/date or as-of tau fact
new_high_count_to_tau,1124302,0,100.0,calendar/date or as-of tau fact
days_above_t0_to_tau,1124302,0,100.0,calendar/date or as-of tau fact
peak_tau,1119710,4592,99.5916,calendar/date or as-of tau fact
days_since_running_peak,1119710,4592,99.5916,calendar/date or as-of tau fact
volume_ratio_pre20,1105085,19217,98.2908,calendar/date or as-of tau fact
amount_ratio_pre20,1105085,19217,98.2908,calendar/date or as-of tau fact
turnover_ratio_pre20,1105085,19217,98.2908,calendar/date or as-of tau fact
cum_turnover_since_t0,1124302,0,100.0,calendar/date or as-of tau fact
mean_turnover_since_t0,1124302,0,100.0,calendar/date or as-of tau fact
volume_peak_ratio_to_tau,1124302,0,100.0,calendar/date or as-of tau fact
turnover_peak_ratio_to_tau,1124302,0,100.0,calendar/date or as-of tau fact
anchored_vwap_t0_to_tau,1113270,11032,99.0188,calendar/date or as-of tau fact
anchored_vwap_obs_n,1124302,0,100.0,calendar/date or as-of tau fact
close_vs_anchored_vwap,1096491,27811,97.5264,calendar/date or as-of tau fact
rolling_vwap5,1124302,0,100.0,calendar/date or as-of tau fact
rolling_vwap5_obs_n,1124302,0,100.0,calendar/date or as-of tau fact
price_to_rolling_vwap5,1107347,16955,98.492,calendar/date or as-of tau fact
rolling_vwap10,1124302,0,100.0,calendar/date or as-of tau fact
rolling_vwap10_obs_n,1124302,0,100.0,calendar/date or as-of tau fact
price_to_rolling_vwap10,1107347,16955,98.492,calendar/date or as-of tau fact
rolling_vwap20,1124302,0,100.0,calendar/date or as-of tau fact
rolling_vwap20_obs_n,1124302,0,100.0,calendar/date or as-of tau fact
price_to_rolling_vwap20,1107347,16955,98.492,calendar/date or as-of tau fact
below_t0_close,1107347,16955,98.492,calendar/date or as-of tau fact
below_ref20,1107347,16955,98.492,calendar/date or as-of tau fact
below_ref60,1102771,21531,98.0849,calendar/date or as-of tau fact
new_post_breakout_high,1124302,0,100.0,calendar/date or as-of tau fact
drawdown_from_peak,1102771,21531,98.0849,calendar/date or as-of tau fact
recovered_previous_peak,1124302,0,100.0,calendar/date or as-of tau fact
