code,w_start,w_end,max_gain,recoveries,unresolved_dd,rec15,rec25
sh.600000,2021-08-02,2025-07-07,1.3822221755981445,1,False,1,1
sh.600004,2021-08-02,2023-04-06,0.994861364364624,1,False,3,0
sh.600006,2021-08-02,2024-03-20,1.25657057762146,1,True,1,1
sh.600007,2021-08-02,2024-09-30,1.5677638053894043,2,False,2,1
sh.600008,2021-08-02,2024-11-07,0.5064440965652466,0,True,0,0
sh.600009,2021-08-02,2023-02-20,0.6409915685653687,1,False,3,0
sh.600010,2021-08-02,2026-03-02,1.4057972431182861,0,True,0,0
sh.600011,2021-08-02,2026-06-01,1.6266236305236816,3,False,3,3
sh.600012,2021-08-02,2026-07-28,3.227170944213867,1,False,5,1
sh.600015,2021-08-02,2025-07-10,1.139373540878296,0,False,0,0
sh.600016,2021-08-02,2025-07-10,0.9545849561691284,0,False,2,0
sh.600017,2021-08-02,2025-07-24,0.44902563095092773,1,False,4,1
sh.600018,2021-08-02,2024-10-08,0.5920447111129761,2,False,2,1
sh.600019,2021-08-02,2025-11-13,0.8120746612548828,0,True,0,0
sh.600020,2021-08-02,2025-07-22,0.9856564998626709,1,False,2,0
sh.600021,2021-08-02,2025-10-30,3.6744399070739746,2,False,3,2
sh.600022,2021-08-02,2026-02-27,0.5663716793060303,0,True,0,0
sh.600023,2021-08-02,2024-07-09,1.502641201019287,2,False,2,1
sh.600025,2021-08-02,2024-08-22,1.4698469638824463,1,False,1,1
sh.600026,2021-08-02,2026-04-08,4.712858200073242,4,False,6,3
sh.600027,2021-08-02,2024-04-15,1.5530121326446533,3,False,3,3
sh.600028,2021-08-02,2026-03-03,1.6504225730895996,1,False,3,0
sh.600029,2021-08-02,2026-02-09,0.5850861072540283,2,False,2,2
sh.600030,2021-08-02,2024-11-08,1.1219923496246338,2,False,2,2
sh.600031,2021-08-02,2026-02-25,0.9803388118743896,0,True,0,0
sh.600032,2021-12-01,2026-03-25,1.17484450340271,0,True,0,0
sh.600033,2021-08-02,2025-12-10,1.2507588863372803,0,False,3,0
sh.600035,2021-08-02,2024-12-24,0.9634469747543335,1,False,4,0
sh.600036,2021-08-02,2025-07-10,1.0124561786651611,1,False,1,1
sh.600037,2021-08-02,2025-09-01,0.723453164100647,1,True,3,1
sh.600038,2021-08-02,2024-05-09,0.429343581199646,1,True,1,0
sh.600039,2021-08-02,2026-03-06,2.035916566848755,2,False,3,2
sh.600048,2021-08-02,2023-02-21,0.6936360597610474,1,True,1,0
sh.600050,2021-08-02,2025-02-21,1.221709966659546,2,False,2,1
sh.600051,2021-08-02,2026-03-10,0.7810381650924683,0,True,0,0
sh.600052,2021-08-02,2025-09-12,1.0975351333618164,3,False,3,2
sh.600053,2021-08-02,2026-02-04,1.3015165328979492,2,False,2,2
sh.600054,2021-08-02,2026-02-05,0.8156815767288208,4,False,4,1
sh.600055,2021-08-02,2025-02-21,0.6251074075698853,2,True,2,1
sh.600056,2021-08-02,2023-02-20,1.147994041442871,0,True,0,0
sh.600057,2021-08-02,2025-12-08,1.0388579368591309,1,True,1,0
sh.600058,2021-08-02,2026-01-28,1.6779658794403076,2,False,2,2
sh.600059,2021-08-02,2025-05-27,0.574185848236084,0,True,0,0
sh.600060,2021-08-02,2026-09-03,2.552715301513672,3,False,4,2
sh.600061,2021-08-02,2024-10-08,0.6691451072692871,0,True,0,0
sh.600062,2021-08-02,2024-10-08,1.3781113624572754,0,True,1,0
sh.600063,2021-08-02,2026-06-22,1.9250168800354004,1,True,1,1
sh.600064,2021-08-02,2025-10-31,0.964608907699585,1,False,2,0
sh.600066,2021-08-02,2026-04-02,5.908515930175781,2,False,4,2
sh.600067,2021-08-02,2025-11-14,2.3029236793518066,2,False,2,2
sh.600071,2021-08-02,2024-10-28,1.2321290969848633,0,True,0,0
sh.600072,2021-08-02,2023-07-03,1.9773876667022705,2,False,3,1
sh.600073,2021-08-02,2025-06-03,0.6045197248458862,1,True,1,1
sh.600075,2021-08-02,2026-03-12,1.40403151512146,0,True,0,0
sh.600076,2021-08-02,2026-01-20,2.7460317611694336,1,False,1,1
sh.600078,2021-08-02,2026-05-11,3.714560031890869,2,True,2,2
sh.600079,2021-08-02,2023-04-17,1.1245439052581787,1,False,1,1
sh.600080,2021-08-02,2026-02-27,0.9248350858688354,2,True,2,1
sh.600081,2021-08-02,2025-05-29,1.2473962306976318,2,False,2,2
sh.600082,2021-08-02,2025-11-10,1.9560441970825195,0,True,1,0
sh.600084,2021-08-02,2023-08-11,1.495548963546753,0,False,2,0
sh.600085,2021-08-02,2023-05-04,1.0242829322814941,3,False,3,1
sh.600088,2021-08-02,2024-02-01,2.7942333221435547,2,False,2,2
sh.600089,2021-08-02,2026-03-05,2.2150893211364746,2,False,3,2
sh.600094,2021-08-02,2025-11-11,1.3384125232696533,2,False,2,2
sh.600095,2021-08-02,2025-10-13,1.3419244289398193,3,False,5,2
sh.600096,2021-08-02,2026-02-26,2.666531801223755,2,False,3,2
sh.600097,2021-08-02,2025-11-19,1.0990872383117676,2,False,2,1
sh.600098,2021-08-02,2026-03-26,0.8735747337341309,1,False,1,1
sh.600099,2021-08-02,2025-08-08,0.9965426921844482,2,True,3,2
sh.600100,2021-08-02,2023-05-09,1.5482232570648193,1,False,1,1
sh.600101,2021-08-02,2025-04-25,2.3138911724090576,4,False,6,2
sh.600103,2021-08-02,2026-04-22,2.3086605072021484,3,False,3,3
sh.600104,2021-08-02,2024-12-30,0.8216450214385986,1,False,1,1
sh.600105,2021-08-02,2026-06-25,24.04663848876953,4,False,7,3
sh.600106,2021-08-02,2025-08-15,2.351024866104126,5,False,5,4
sh.600107,2021-08-02,2025-10-27,2.2964282035827637,2,False,4,2
sh.600108,2021-08-02,2026-03-12,2.0487539768218994,2,False,3,1
sh.600109,2021-08-02,2024-10-08,0.5370368957519531,0,True,0,0
sh.600110,2021-08-02,2026-06-18,5.706106662750244,1,True,1,1
sh.600111,2021-08-02,2026-02-27,2.967823028564453,1,False,2,1
sh.600113,2021-08-02,2025-12-25,12.53023624420166,2,False,4,2
sh.600114,2021-08-02,2026-06-18,7.089016914367676,7,False,11,5
sh.600115,2021-08-02,2026-02-09,0.873900294303894,1,False,2,1
sh.600116,2021-08-02,2023-03-17,0.25094568729400635,1,True,1,0
sh.600117,2021-08-02,2025-08-04,1.6263155937194824,0,True,0,0
sh.600118,2021-08-02,2026-01-13,6.324814319610596,2,False,3,2
sh.600119,2021-08-02,2024-11-28,0.9554368257522583,2,False,4,2
sh.600120,2021-08-02,2025-02-12,1.9460673332214355,2,False,3,2
sh.600121,2021-08-02,2025-10-28,0.9966665506362915,1,True,2,1
sh.600123,2021-08-02,2024-03-07,1.4990687370300293,3,False,3,2
sh.600125,2021-08-02,2026-03-30,0.6546725034713745,2,False,2,2
sh.600126,2021-08-02,2025-02-27,3.4741640090942383,1,False,1,1
sh.600127,2021-08-02,2026-09-08,1.866278886795044,1,False,2,1
sh.600128,2021-08-02,2025-01-16,1.5230965614318848,4,False,6,2
sh.600129,2021-08-02,2023-05-26,3.705595016479492,4,False,4,3
sh.600130,2021-08-02,2024-11-07,1.7272727489471436,3,False,3,3
sh.600131,2021-08-02,2024-11-11,1.3930513858795166,1,False,2,1
sh.600132,2021-08-02,2023-02-28,0.5722947120666504,0,True,0,0
sh.600133,2021-08-02,2024-11-07,1.8590304851531982,4,False,5,2
sh.600135,2021-08-02,2026-01-08,1.924137830734253,3,False,3,3
sh.600136,2021-08-02,2025-03-17,1.2589285373687744,0,True,2,0
sh.600137,2021-08-02,2025-05-22,1.528486967086792,2,False,4,1
sh.600138,2021-08-02,2023-04-13,0.7430406808853149,1,False,1,0
sh.600141,2021-08-02,2026-06-26,2.5491738319396973,1,False,2,1
sh.600143,2021-08-02,2025-09-18,3.178872585296631,1,False,1,1
