code,T0,severity,event_id
sh.600000,2025-09-11,0.3201133007766315,600000_2025-09-11
sh.600007,2025-01-27,0.1466346509137701,600007_2025-01-27
sh.600008,2024-12-12,0.13742694118126372,600008_2024-12-12
sh.600016,2025-11-20,0.16190477537991596,600016_2025-11-20
sh.600027,2024-06-13,0.3061275308896488,600027_2024-06-13
sh.600029,2026-02-09,0.39806997699860003,600029_2026-02-09
sh.600038,2024-11-11,0.24755555867094045,600038_2024-11-11
sh.600059,2025-06-30,0.1805682814154911,600059_2025-06-30
sh.600061,2025-10-29,0.19130433229467597,600061_2025-10-29
sh.600104,2025-12-15,0.33164558483078455,600104_2025-12-15
sh.600104,2025-02-11,0.2677538106291388,600104_2025-02-11
sh.600115,2026-02-09,0.4507042153492122,600115_2026-02-09
sh.600148,2025-08-13,0.18010291100474357,600148_2025-08-13
sh.600155,2024-03-21,0.2928039511230315,600155_2024-03-21
sh.600163,2024-12-24,0.25232197603304923,600163_2024-12-24
sh.600168,2024-01-03,0.26431720451986596,600168_2024-01-03
sh.600203,2024-11-06,0.4631579181230293,600203_2024-11-06
sh.600208,2025-10-15,0.35490605549916554,600208_2025-10-15
sh.600223,2025-08-21,0.15402569485859022,600223_2025-08-21
sh.600243,2024-03-26,0.5580986140142614,600243_2024-03-26
sh.600276,2026-01-13,0.28506657098033444,600276_2026-01-13
sh.600282,2026-03-02,0.21921980673185013,600282_2026-03-02
sh.600292,2024-01-04,0.3301887317007668,600292_2024-01-04
sh.600309,2026-03-02,0.27855820654487157,600309_2026-03-02
sh.600310,2024-11-06,0.28622539992881313,600310_2024-11-06
sh.600327,2025-03-18,0.2018017883683904,600327_2025-03-18
sh.600346,2026-03-02,0.4245661210162854,600346_2026-03-02
sh.600376,2025-11-18,0.4112792199060062,600376_2025-11-18
sh.600380,2026-01-13,0.22176637170024252,600380_2026-01-13
sh.600386,2025-03-20,0.23255814151730214,600386_2025-03-20
sh.600419,2025-11-13,0.17353786372533983,600419_2025-11-13
sh.600444,2024-12-12,0.23183391404155895,600444_2024-12-12
sh.600461,2024-08-02,0.2963576104049961,600461_2024-08-02
sh.600468,2024-01-02,0.41728763501533145,600468_2024-01-02
sh.600468,2024-03-26,0.28294495512933054,600468_2024-03-26
sh.600483,2024-10-08,0.17180207877667006,600483_2024-10-08
sh.600487,2024-11-11,0.2446530719047762,600487_2024-11-11
sh.600543,2024-12-12,0.3573573660594579,600543_2024-12-12
sh.600547,2024-05-20,0.2222579150626192,600547_2024-05-20
sh.600548,2025-04-10,0.1527981257410936,600548_2025-04-10
sh.600570,2025-10-09,0.2929521715522245,600570_2025-10-09
sh.600583,2024-04-19,0.2801167092811698,600583_2024-04-19
sh.600609,2025-05-07,0.21379305502456306,600609_2025-05-07
sh.600610,2025-08-26,0.31923894272640857,600610_2025-08-26
sh.600612,2024-04-03,0.4351535614457998,600612_2024-04-03
sh.600635,2026-01-12,0.41004188450917817,600635_2026-01-12
sh.600650,2025-08-26,0.19608969602220802,600650_2025-08-26
sh.600653,2026-01-23,0.2500000453564436,600653_2026-01-23
sh.600660,2025-12-31,0.24349161883144754,600660_2025-12-31
sh.600661,2024-12-12,0.37585736802220826,600661_2024-12-12
sh.600668,2025-08-26,0.14263194292435144,600668_2025-08-26
sh.600675,2024-01-29,0.4730021945565735,600675_2024-01-29
sh.600679,2024-01-29,0.40000001531826723,600679_2024-01-29
sh.600684,2024-01-29,0.39949746719120105,600684_2024-01-29
sh.600689,2024-01-29,0.545454535987375,600689_2024-01-29
sh.600697,2026-02-05,0.33360365882317405,600697_2026-02-05
sh.600704,2025-10-27,0.1907260009993787,600704_2025-10-27
sh.600715,2025-11-17,0.28195486806616227,600715_2025-11-17
sh.600734,2026-01-15,0.724324311518076,600734_2026-01-15
sh.600735,2025-08-26,0.49594436257056107,600735_2025-08-26
sh.600736,2024-11-22,0.30248623748838954,600736_2024-11-22
sh.600737,2026-01-30,0.41657273302660386,600737_2026-01-30
sh.600757,2025-07-11,0.1599597968460144,600757_2025-07-11
sh.600787,2024-12-03,0.38857779971654804,600787_2024-12-03
sh.600792,2024-03-01,0.3641508984393372,600792_2024-03-01
sh.600794,2025-11-17,0.203747030007982,600794_2025-11-17
sh.600795,2024-09-30,0.23465835869333687,600795_2024-09-30
sh.600797,2026-02-27,0.4535714334427231,600797_2026-02-27
sh.600801,2026-01-26,0.39665525379210875,600801_2026-01-26
sh.600808,2026-01-26,0.4639639608753338,600808_2026-01-26
sh.600824,2025-12-25,0.3624031220759722,600824_2025-12-25
sh.600830,2025-08-01,0.20313864055068084,600830_2025-08-01
sh.600846,2026-01-16,0.36970118140225444,600846_2026-01-16
sh.600857,2025-11-10,0.38131867424967725,600857_2025-11-10
sh.600858,2026-01-20,0.40985010402190886,600858_2026-01-20
sh.600874,2024-12-12,0.14720000053534288,600874_2024-12-12
sh.600894,2025-04-25,0.16500826915419345,600894_2025-04-25
sh.600909,2024-12-12,0.21150857568350803,600909_2024-12-12
sh.600928,2025-10-27,0.17899767845548337,600928_2025-10-27
sh.600975,2024-03-21,0.498550720498078,600975_2024-03-21
sh.600986,2025-03-21,0.31778422959906366,600986_2025-03-21
sh.601000,2024-09-30,0.22243711793371776,601000_2024-09-30
sh.601008,2025-08-12,0.21240310671152474,601008_2025-08-12
sh.601020,2026-03-02,0.5676340498724495,601020_2026-03-02
sh.601021,2026-02-05,0.2654777690805253,601021_2026-02-05
sh.601088,2024-12-31,0.18698254713734414,601088_2024-12-31
sh.601111,2026-02-09,0.3659066308919814,601111_2026-02-09
sh.601121,2026-03-02,0.36003635461610095,601121_2026-03-02
sh.601127,2026-01-07,0.5394887778321026,601127_2026-01-07
sh.601156,2024-07-01,0.30468373401541204,601156_2024-07-01
sh.601188,2024-01-09,0.41056911592302664,601188_2024-01-09
sh.601212,2024-05-20,0.29295775100264015,601212_2024-05-20
sh.601228,2026-03-12,0.2209944820829311,601228_2026-03-12
sh.601236,2026-01-12,0.22780207065470556,601236_2026-01-12
sh.601318,2026-02-09,0.28946160234268536,601318_2026-02-09
sh.601375,2025-10-29,0.16274094302399067,601375_2025-10-29
sh.601399,2026-01-12,0.5226209023990935,601399_2026-01-12
sh.601528,2025-08-25,0.09401710978718608,601528_2025-08-25
sh.601600,2024-10-14,0.3016213865839723,601600_2024-10-14
sh.601606,2026-03-02,0.4909127624895963,601606_2026-03-02
sh.601628,2026-01-13,0.36331570056899004,601628_2026-01-13
sh.601658,2025-10-28,0.17784301893114227,601658_2025-10-28
sh.601827,2024-12-12,0.13904341706159323,601827_2024-12-12
sh.601838,2025-10-16,0.1710455289735698,601838_2025-10-16
sh.601860,2025-10-23,0.09798674702789849,601860_2025-10-23
sh.601900,2025-07-11,0.17661772248563604,601900_2025-07-11
sh.601916,2025-11-20,0.07911389576318985,601916_2025-11-20
sh.601918,2024-07-09,0.3349420777092845,601918_2024-07-09
