code,seg_start,launch,gain_12m,w_start,w_end
sh.600015,2021-03-08,2023-08-03,0.1565549373626709,2021-03-08,2024-08-16
sh.600016,2021-03-08,2023-05-08,-0.04096561670303345,2021-03-08,2024-05-22
sh.600020,2021-03-08,2023-05-04,0.03796529769897461,2021-03-08,2024-05-20
sh.600169,2022-10-26,2024-12-19,-0.17028987407684326,2022-10-26,2026-01-05
sh.600170,2022-04-25,2024-11-18,0.006194472312927246,2022-04-25,2025-12-01
sh.600196,2023-03-21,2025-09-03,-0.28442853689193726,2023-03-21,2026-09-17
sh.600269,2021-03-08,2023-10-12,0.3205219507217407,2021-03-08,2024-10-28
sh.600308,2022-05-26,2025-04-22,-0.019521057605743408,2022-05-26,2026-05-11
sh.600323,2022-11-21,2025-03-28,0.24098992347717285,2022-11-21,2026-04-14
sh.600377,2021-03-08,2023-05-08,0.15478110313415527,2021-03-08,2024-05-22
sh.600527,2021-07-29,2024-05-21,0.15133130550384521,2021-07-29,2025-06-05
sh.600567,2021-12-23,2024-07-19,0.3173038959503174,2021-12-23,2025-08-04
sh.600598,2022-08-18,2025-04-09,-0.12444061040878296,2022-08-18,2026-04-23
sh.600643,2021-03-08,2023-08-04,-0.36384767293930054,2021-03-08,2024-08-19
sh.600660,2023-02-01,2025-08-29,-0.15163826942443848,2023-02-01,2026-09-14
sh.600694,2022-07-18,2024-11-26,-0.03936976194381714,2022-07-18,2025-12-09
sh.600894,2021-03-08,2023-08-28,0.4036322832107544,2021-03-08,2024-09-10
sh.601019,2021-03-08,2023-04-18,0.361535906791687,2021-03-08,2024-05-07
sh.601077,2021-03-08,2023-08-03,0.3988450765609741,2021-03-08,2024-08-16
sh.601098,2021-03-08,2023-04-11,0.09725964069366455,2021-03-08,2024-04-25
sh.601211,2021-11-25,2024-11-01,0.06905603408813477,2021-11-25,2025-11-14
sh.601288,2021-03-08,2023-05-10,0.29475343227386475,2021-03-08,2024-05-24
sh.601298,2021-03-08,2023-05-08,0.028718113899230957,2021-03-08,2024-05-22
sh.601328,2021-03-08,2023-09-26,0.35440075397491455,2021-03-08,2024-10-18
sh.601366,2021-03-08,2024-07-03,-0.08289891481399536,2021-03-08,2025-07-17
sh.601398,2021-03-08,2023-08-28,0.26182258129119873,2021-03-08,2024-09-10
sh.601399,2022-12-02,2025-03-25,0.35542166233062744,2022-12-02,2026-04-09
sh.601818,2021-03-23,2023-08-01,0.053797125816345215,2021-03-23,2024-08-14
sh.601880,2022-04-25,2025-04-08,0.1087183952331543,2022-04-25,2026-04-22
sh.601916,2021-03-08,2024-01-15,0.17432081699371338,2021-03-08,2025-02-06
sh.601963,2022-07-04,2025-01-06,0.20423972606658936,2022-07-04,2026-01-20
sh.601985,2022-06-02,2024-12-25,-0.10704970359802246,2022-06-02,2026-01-09
sh.601988,2021-03-08,2023-05-08,0.07062375545501709,2021-03-08,2024-05-22
sh.601992,2021-03-08,2024-09-19,0.2622213363647461,2021-03-08,2025-10-09
sh.601997,2021-05-18,2025-04-07,0.09651219844818115,2021-05-18,2026-04-21
sh.603980,2021-03-08,2024-04-02,0.08319270610809326,2021-03-08,2025-04-18
sh.688178,2021-10-19,2024-05-16,1.0163533687591553,2021-10-19,2025-05-30
sz.000429,2021-03-08,2024-09-12,-0.016514241695404053,2021-03-08,2025-09-26
sz.000685,2021-12-22,2025-01-13,0.5138413906097412,2021-12-22,2026-01-27
sz.000750,2021-06-10,2023-07-25,-0.19984525442123413,2021-06-10,2024-08-07
sz.000783,2021-03-08,2023-07-28,-0.21976304054260254,2021-03-08,2024-08-12
sz.000825,2023-05-19,2025-07-22,-0.17277014255523682,2023-05-19,2026-08-05
sz.002266,2022-09-21,2025-07-21,0.3369605541229248,2022-09-21,2026-08-04
sz.002391,2022-11-18,2025-03-24,0.09407663345336914,2022-11-18,2026-04-08
sz.002440,2022-06-24,2025-04-29,0.3490828275680542,2022-06-24,2026-05-18
sz.002573,2023-02-07,2025-05-20,-0.20608896017074585,2023-02-07,2026-06-03
sz.002736,2021-03-08,2023-08-07,-0.09503352642059326,2021-03-08,2024-08-20
sz.002936,2021-06-09,2025-07-10,-0.221238911151886,2021-06-09,2026-07-24
sz.002958,2021-04-29,2025-04-07,0.05297410488128662,2021-04-29,2026-04-21
sz.003816,2022-01-07,2024-08-28,-0.2204917073249817,2022-01-07,2025-09-11
