industry,seg_start,seg_end,peak_r120
A01农业,2026-02-25,2026-03-20,0.5777119591364026
A03畜牧业,2025-03-13,2025-03-28,0.3179120206867183
A04渔业,2024-12-02,2025-01-02,0.6321778205194939
A05农、林、牧、渔专业及辅助性活动,2024-12-02,2024-12-24,0.6049691128871808
B06煤炭开采和洗选业,2021-08-23,2021-10-27,1.0346206944749219
B07石油和天然气开采业,2026-03-02,2026-04-15,0.8492823456802152
B08黑色金属矿采选业,2025-11-06,2025-12-03,0.8497170503337295
B09有色金属矿采选业,2026-01-09,2026-03-13,1.2774549570070355
B11开采专业及辅助性活动,2026-02-24,2026-03-19,0.6845801125793145
C13农副食品加工业,2025-02-20,2025-03-28,0.3492297720560693
C14食品制造业,2025-02-19,2025-03-28,0.4405756435063626
C15酒、饮料和精制茶制造业,2021-08-30,2021-09-14,0.32563536143907545
C17纺织业,2025-02-07,2025-04-01,0.5620635357898778
C18纺织服装、服饰业,2021-07-06,2021-07-26,0.48338346507569296
C19皮革、毛皮、羽毛及其制品和制鞋业,2025-09-26,2025-10-10,0.5298113403758447
C20木材加工和木、竹、藤、棕、草制品业,2025-10-27,2025-12-03,0.6621242007273782
C21家具制造业,2025-02-06,2025-03-28,0.4798231448452468
C22造纸和纸制品业,2024-12-05,2025-01-02,0.3904064525022728
C23印刷和记录媒介复制业,2025-02-07,2025-03-27,0.48981650556429646
C24文教、工美、体育和娱乐用品制造业,2025-02-05,2025-03-28,0.6663157991790105
C25石油、煤炭及其他燃料加工业,2025-02-24,2025-03-27,0.5419073114640569
C26化学原料和化学制品制造业,2021-08-24,2021-09-28,0.5957962094531348
C27医药制造业,2025-07-14,2025-09-17,0.42852905329909063
C28化学纤维制造业,2025-02-14,2025-04-01,0.5455351987022989
C29橡胶和塑料制品业,2025-02-07,2025-03-31,0.5489958398734673
C30非金属矿物制品业,2025-02-20,2025-03-28,0.49004041596493786
C31黑色金属冶炼和压延加工业,2021-07-12,2021-09-24,0.6819847219130717
C32有色金属冶炼和压延加工业,2026-01-21,2026-02-04,0.7872501259525782
C33金属制品业,2025-02-19,2025-03-31,0.5553757903526504
C34通用设备制造业,2025-02-06,2025-04-01,0.8469397535686931
C35专用设备制造业,2025-02-14,2025-03-31,0.5625654252715209
C36汽车制造业,2025-02-06,2025-04-01,0.7477436599786422
C37铁路、船舶、航空航天和其他运输设备制造业,2025-02-24,2025-03-28,0.45632029130490404
C38电气机械和器材制造业,2025-02-21,2025-03-28,0.5396953562537379
C39计算机、通信和其他电子设备制造业,2025-02-06,2025-03-31,0.7052183862600268
C40仪器仪表制造业,2025-02-06,2025-04-01,0.7548368801039278
C41其他制造业,2025-09-26,2025-11-04,0.7308834439899674
C42废弃资源综合利用业,2025-02-07,2025-03-31,0.4724956887628511
D44电力、热力生产和供应业,2021-10-18,2021-11-04,0.42873887249768505
D45燃气生产和供应业,2026-03-03,2026-03-13,0.4019947545485849
D46水的生产和供应业,2025-02-24,2025-03-28,0.3717690426015172
E48土木工程建筑业,2025-02-20,2025-03-27,0.45269529618562676
E49建筑安装业,2026-04-09,2026-05-28,1.4657638350127202
E50建筑装饰、装修和其他建筑业,2024-12-02,2024-12-30,0.7659593323660403
F51批发业,2025-02-07,2025-03-27,0.4375474047630963
F52零售业,2024-12-10,2025-01-06,0.7116996522413985
G53铁路运输业,2022-09-06,2022-09-27,0.3248743816787434
G54道路运输业,2024-11-19,2025-01-09,0.4606579308571448
G55水上运输业,2021-09-09,2021-09-24,0.2434616170450481
G56航空运输业,2022-01-20,2022-02-23,0.31812284366489596
G58多式联运和运输代理业,2025-09-10,2025-09-29,0.40845720915653416
G59装卸搬运和仓储业,2024-11-28,2024-12-24,0.470281915604708
H61住宿业,2022-06-24,2022-07-11,0.7439100938437428
I63电信、广播电视和卫星传输服务,2024-11-29,2025-01-02,0.7096931412635883
I64互联网和相关服务,2025-02-06,2025-03-26,0.9576364963911941
I65软件和信息技术服务业,2025-02-06,2025-03-31,0.9931014231289645
J66货币金融服务,2025-03-05,2025-03-27,0.28552858309265283
J67资本市场服务,2024-11-28,2025-01-02,0.4754546275184952
J68保险业,2024-09-30,2024-11-21,0.8111587648232388
J69其他金融业,2024-11-28,2025-01-02,0.7299996595453062
K70房地产业,2024-12-02,2024-12-25,0.5048503176744117
L72商务服务业,2024-12-02,2025-01-02,0.6945903241604925
M73研究和试验发展,2025-09-26,2025-10-10,0.6523382258185062
M74专业技术服务业,2025-02-19,2025-03-31,0.5275870907967182
N77生态保护和环境治理业,2025-02-20,2025-03-28,0.5106555062798752
N78公共设施管理业,2024-12-05,2024-12-24,0.4854971415871292
P83教育,2024-12-02,2025-01-02,0.6338697017576052
Q84卫生,2025-02-13,2025-03-28,0.585451836567523
R86新闻和出版业,2023-04-12,2023-07-04,1.0431860795211136
R87广播、电视、电影和录音制作业,2023-04-03,2023-05-16,0.7277957061171203
S91综合,2024-12-02,2024-12-16,0.6727751131567052
