dimension,signal_type,horizon,events,effective_n,stocks,dates,median,mean,positive_rate,result_negative_n,result_positive_n,result_neutral_n,result_unknown_n,path_direct_failure_n,path_immediate_continuation_n,path_spike_then_fade_n,path_deep_drawdown_recovery_n,path_delayed_start_n,path_unknown_n,weekly_base_pattern,weekly_weekday_path,weekly_eligibility_state,industry_code,market_context,half
signal_type,sv_legacy,1,121350,121350,4826,,-0.0005084536971053,0.0005768872915642527,0.4763988463123197,52125.0,51872.0,12777.0,4576.0,64501,53244,2859,746.0,,,,,,,,
signal_type,sv_legacy,2,121350,121350,4826,,-0.001421717127055,0.0005739537155249838,0.47356407086938607,53667.0,54036.0,8779.0,4868.0,59083,41028,7236,2378.0,11625.0,,,,,,,
signal_type,sv_legacy,3,121350,121350,4826,,-0.0018418629446544,0.0002390079876663091,0.4728800988875155,54616.0,54715.0,7084.0,4935.0,54423,37531,11637,4149.0,13610.0,,,,,,,
signal_type,sv_legacy,5,121350,121350,4826,,-0.00153677307344145,0.0023346005631470104,0.48252987227029254,55159.0,55413.0,5566.0,5212.0,46832,34538,17459,8040.0,14481.0,,,,,,,
signal_type,sv_legacy,10,121350,121350,4826,,-0.0023765071517091,0.004788345859625203,0.48329625051503916,55700.0,55666.0,3741.0,6243.0,36289,29036,27450,15493.0,13082.0,,,,,,,
signal_type,sv_legacy,15,121350,120941,4826,,-0.0049342105263158,0.006794899573009119,0.47489271628314633,55364.0,55774.0,2936.0,7276.0,30439,24905,33867,19893.0,11837.0,409.0,,,,,,
signal_type,sv_legacy,20,121350,120129,4826,,-0.0037348272642391,0.010755820742667274,0.4837965853374289,55775.0,55195.0,2586.0,7794.0,26697,22876,36029,23681.0,10846.0,1221.0,,,,,,
signal_type,td_legacy,1,74236,74236,4807,,-0.00133958532970125,0.0005000331013144767,0.46247103831025377,32672.0,31431.0,7331.0,2802.0,40461,31507,1820,448.0,,,,,,,,
signal_type,td_legacy,2,74236,74236,4807,,-0.0018058694425692,0.0008687445199185773,0.464545503529285,33667.0,32453.0,5226.0,2890.0,36800,23882,4620,1363.0,7571.0,,,,,,,
signal_type,td_legacy,3,74236,74236,4807,,-0.0013947001394699,0.0016308500768685151,0.4766690015625842,33991.0,33000.0,4283.0,2962.0,33285,22309,6920,2579.0,9143.0,,,,,,,
signal_type,td_legacy,5,74236,74236,4807,,-0.0008262758802202,0.003560250162740869,0.48702785710436985,34003.0,33671.0,3336.0,3226.0,28283,20631,10745,4729.0,9848.0,,,,,,,
signal_type,td_legacy,10,74236,74236,4807,,-0.001763668430335,0.006484909584489184,0.4864216822027049,34667.0,33866.0,2290.0,3413.0,21665,17296,17129,9007.0,9139.0,,,,,,,
signal_type,td_legacy,15,74236,74017,4807,,-0.0025996533795494,0.00965406044492651,0.48579380412607914,34433.0,34012.0,1874.0,3917.0,18058,15115,20490,12193.0,8161.0,219.0,,,,,,
signal_type,td_legacy,20,74236,73595,4807,,-0.0043841336116909,0.01117477946837604,0.48092941096541886,34272.0,34023.0,1526.0,4415.0,15888,13653,22734,13923.0,7397.0,641.0,,,,,,
weekly_base_pattern,,1,36792,36792,4641,,-0.0019907574503018003,0.0002101025634500043,0.4500978473581213,16242.0,15652.0,3530.0,1368.0,20415,15169,972,236.0,,,double_positive_efficiency_improved,,,,,
weekly_base_pattern,,2,36792,36792,4641,,-0.0020782099709736497,0.0009104212297156098,0.46376929767340724,16562.0,16117.0,2576.0,1537.0,18227,11691,2316,773.0,3785.0,,double_positive_efficiency_improved,,,,,
