half,cell,n,fwd1_med,fwd1_pos,fwd3_med,fwd3_pos,peak3_return_med,peak3_return_pos
2025H1,0_0,80739,0.0,0.4885,-0.00179,0.4727,0.02526,0.9197
2025H1,0_1,15208,-0.00174,0.4491,-0.00318,0.4576,0.02392,0.9232
2025H1,1_0,61886,-0.00065,0.474,-0.00173,0.4764,0.02796,0.9138
2025H1,1_1,21621,0.0,0.483,-0.00103,0.481,0.02352,0.9281
2025H2,0_0,174990,0.0,0.4812,-0.00054,0.4862,0.02464,0.9316
2025H2,0_1,33591,0.0,0.4982,0.00094,0.5059,0.02431,0.9247
2025H2,1_0,117158,-0.00124,0.4665,0.0,0.4915,0.0274,0.9268
2025H2,1_1,39983,-0.00076,0.4679,-0.00038,0.4836,0.02174,0.9243
2026H1,0_0,133465,-0.00144,0.4711,-0.00206,0.4785,0.03158,0.9254
2026H1,0_1,24260,-0.00193,0.465,-0.00189,0.4783,0.02871,0.9089
2026H1,1_0,90344,0.0,0.486,-0.00016,0.4925,0.03481,0.917
2026H1,1_1,24828,-0.00149,0.4631,-0.00375,0.458,0.02516,0.9108
2026H2,0_0,22544,0.0,0.4968,-0.00402,0.4663,0.03866,0.9238
2026H2,0_1,4265,-0.00141,0.4762,-0.0031,0.4688,0.03735,0.9423
2026H2,1_0,18084,-0.00127,0.4799,-0.00678,0.4515,0.03695,0.9056
2026H2,1_1,4026,-0.00406,0.4275,-0.00749,0.4278,0.02566,0.9178
