label,cap,n,fwd1_med,fwd1_pos,fwd2_med,fwd2_pos,fwd3_med,fwd3_pos,fwd30_med,fwd30_pos,peak3_return_med,peak3_return_pos,giveback_from_peak3_med,giveback_from_peak3_pos,next_week_return_med,next_week_return_pos,next_week_high_med,next_week_high_pos
shrinking_volume,1%,58117,0.0,0.4856,-0.00053,0.4816,-0.0008,0.4827,0.00235,0.5057,0.02265,0.9237,-0.02511,0.0,-0.0018,0.479,0.0315,0.8153
shrinking_volume,2%,94183,0.0,0.4842,-0.00074,0.4806,-0.00084,0.483,0.0,0.4972,0.02381,0.9248,-0.02631,0.0,-0.00175,0.4807,0.03315,0.8191
shrinking_volume,3%,109813,0.0,0.4821,-0.00104,0.4781,-0.00117,0.4806,-0.00226,0.4913,0.02467,0.9244,-0.02739,0.0,-0.00199,0.4792,0.0341,0.8187
shrinking_volume,3.5%,113794,0.0,0.4817,-0.00108,0.4779,-0.00122,0.4803,-0.00274,0.4895,0.025,0.9243,-0.02776,0.0,-0.00209,0.4788,0.03446,0.8182
shrinking_volume,5%,119924,0.0,0.4817,-0.00123,0.4768,-0.00137,0.4791,-0.00352,0.4871,0.02564,0.9236,-0.02848,0.0,-0.00229,0.4777,0.0351,0.8176
shrinking_volume,10%,125196,0.0,0.4838,-0.00117,0.4782,-0.00138,0.4796,-0.00487,0.4834,0.02651,0.9234,-0.02918,0.0,-0.00251,0.4768,0.03589,0.8163
shrinking_volume,20%,128194,0.0,0.4871,-0.00102,0.4802,-0.00131,0.4807,-0.00561,0.4812,0.0272,0.9239,-0.02963,0.0,-0.00259,0.4765,0.03642,0.8154
shrinking_volume,no_cap,128381,0.0,0.4874,-0.001,0.4806,-0.00129,0.4808,-0.00563,0.481,0.02725,0.9239,-0.02967,0.0,-0.00258,0.4766,0.03646,0.8154
two_day,1%,18151,0.0,0.4841,-0.00062,0.4763,-0.00027,0.4861,0.0,0.4976,0.02154,0.9206,-0.02385,0.0,-0.00225,0.4761,0.0307,0.826
two_day,2%,46163,-0.00058,0.4725,-0.00118,0.4711,-0.00066,0.4825,0.0,0.4985,0.02225,0.9236,-0.02507,0.0,-0.00271,0.4713,0.03164,0.8265
two_day,3%,67221,-0.00121,0.4642,-0.00157,0.4671,-0.00104,0.4803,-0.00128,0.494,0.02353,0.9213,-0.0267,0.0,-0.00315,0.4693,0.03324,0.8228
two_day,3.5%,75069,-0.00142,0.4611,-0.00172,0.4654,-0.00128,0.478,-0.00225,0.4908,0.0242,0.9202,-0.02748,0.0,-0.00336,0.4677,0.03385,0.821
two_day,5%,91717,-0.00184,0.455,-0.00213,0.4623,-0.00177,0.4736,-0.00506,0.483,0.02553,0.9148,-0.02919,0.0,-0.00414,0.4632,0.03519,0.8141
two_day,10%,112768,-0.00219,0.4534,-0.00246,0.4618,-0.00227,0.4708,-0.00906,0.4733,0.02817,0.9095,-0.03195,0.0,-0.00516,0.4592,0.03756,0.8058
two_day,20%,121102,-0.00197,0.4587,-0.00239,0.4644,-0.00228,0.4718,-0.01118,0.4675,0.02993,0.9094,-0.03333,0.0,-0.00568,0.4574,0.03872,0.8025
two_day,no_cap,121920,-0.00193,0.4596,-0.00236,0.465,-0.00225,0.4722,-0.01132,0.467,0.03013,0.9093,-0.03352,0.0,-0.00573,0.4572,0.03889,0.8022
