half,cell,n,fwd1_med,fwd1_pos,fwd3_med,fwd3_pos,peak3_return_med,peak3_return_pos
2026H1,0_0,1895,-0.00258,0.4491,-0.00327,0.4681,0.02638,0.9045
2026H1,0_1,339,-0.00654,0.3746,-0.00516,0.4189,0.02358,0.885
2026H1,1_0,1694,0.0,0.4935,-0.00036,0.4852,0.02974,0.9097
2026H1,1_1,493,-0.00137,0.4625,-0.00375,0.4462,0.02123,0.8905
2026H1,u_0,510,0.00107,0.5039,-0.00819,0.3824,0.02691,0.9431
2026H1,u_1,84,0.0,0.4881,-0.00956,0.3929,0.02329,0.8929
2026H2,0_0,255,0.00086,0.5098,-0.00025,0.4824,0.03811,0.9294
2026H2,0_1,61,0.00248,0.5246,-0.01179,0.377,0.0367,0.9344
2026H2,1_0,270,0.0005,0.5037,-0.00031,0.4852,0.03254,0.8852
2026H2,1_1,91,-0.00238,0.4176,0.00061,0.5055,0.02259,0.8901
2026H2,u_0,83,-0.01227,0.3253,-0.01889,0.3253,0.01485,0.7711
2026H2,u_1,6,0.01057,0.6667,-0.00446,0.5,0.03865,1.0
