episode_id,code,signal_type,date,last_trigger_date,consecutive_confirmations,end_date,end_reason,evidence_level,session_ordinal_in_week,planned_sessions_this_week,monthly_completed_state,monthly_provisional_state,monthly_state_changed_this_month,week_realized_pct,t_eff,l_eff,eff_delta,volume_ratio_vs_prev_week,same_progress_return_delta_pct,cc_same_progress_return_delta_pct,same_progress_volume_ratio,planned_prorated_return_pct,planned_prorated_volume_ratio,early_week_evidence_strength,tuesday_recovery_ratio,prev_week_cc_pct,prev2_week_cc_pct,partial_week_cc_pct,momentum_context_positive,theory_stagnation_flag,week_completion,weekly_base_pattern,weekly_weekday_path,weekly_passed,weekly_eligibility_state,weekly_eligibility_reason,weekly_veto,r_today_pct,r_yesterday_pct,return_acceleration_pct,volume_ratio_vs_prev,activity_state,atr14_prev,atr_normalized_move,sv_raw,sv_legacy,td_raw,td_legacy,cap_passed,sv_continuation,sv_rebound,acc_continuation,acc_rebound,weekly_daily_cell,pre_return_5_pct,dist_to_prior_ma5_pct,dist_to_prior_high5_pct,pre_return_10_pct,dist_to_prior_ma10_pct,dist_to_prior_high10_pct,pre_return_20_pct,dist_to_prior_ma20_pct,dist_to_prior_high20_pct,pre_return_60_pct,dist_to_prior_ma60_pct,dist_to_prior_high60_pct,prior_up_streak,today_overnight_pct,today_intraday_pct,today_close_position,today_upper_shadow_pct,signal_id,weekly_passed_out,sv_legacy_out,td_legacy_out,weekly_daily_cell_out,t_eff_out,eff_delta_out,weekday_path,matured_1,matured_2,matured_3,matured_5,matured_10,matured_15,matured_20,overnight_gap,fwd1,mfe1_full,mae1_full,fwd2,mfe2_full,mae2_full,fwd3,mfe3_full,mae3_full,fwd5,mfe5_full,mae5_full,fwd10,mfe10_full,mae10_full,fwd15,mfe15_full,mae15_full,fwd20,mfe20_full,mae20_full,next_day_open_to_close,next_day_high_vs_signal_close,next_day_low_vs_signal_close,peak3_return,peak3_session_offset,giveback_from_peak3,early3_up_then_flat,matured_week,next_week_sessions,next_week_open_gap,next_week_high,next_week_low,next_week_return,matured_week_remaining,week_remaining_return,week_remaining_high,week_remaining_sessions,half,result_1,path_1,result_2,path_2,result_3,path_3,result_5,path_5,result_10,path_10,result_15,path_15,result_20,path_20
000006_sv_legacy_1,000006,sv_legacy,2026-01-23,2026-01-23,1,2026-02-02,signal_inactive,L2,5,5,False,True,True,5.9848,5.5811,7.8078,-2.2267,1.0723,,,,,,,,-9.2611,2.0101,5.7546,False,,1.0,negative_to_positive,completed_week,True,eligible,legacy_negative_to_positive_completed_week,False,0.9326,0.0,0.9326,0.7904,shrinking,0.43,0.2093,True,True,True,True,True,False,True,False,True,1_1,3.652,3.617,-2.988,-2.7218,2.15,-6.6155,-1.7312,0.18,-6.6155,-24.6682,-7.2293,-28.8012,0,-0.1036,1.0373,0.7895,0.4149,000006_2026-01-23,True,True,True,1_1,5.5811,-2.2267,completed_week,True,True,True,True,True,True,True,-0.0010266940451745,-0.0441478439425051,0.0041067761806981,-0.0451745379876796,-0.0800821355236138,0.0041067761806981,-0.1026694045174537,-0.0821355236139631,0.0041067761806981,-0.1026694045174537,-0.0800821355236138,0.0041067761806981,-0.1170431211498973,-0.0780287474332648,0.0041067761806981,-0.1170431211498973,-0.0318275154004107,0.0102669404517452,-0.1170431211498973,-0.0821355236139631,0.0112936344969198,-0.1170431211498973,-0.0431654676258992,0.0041067761806981,-0.0451745379876796,0.0041067761806981,1,-0.0858895705521471,False,True,5.0,-0.0010266940451745,0.0041067761806981,-0.1170431211498973,-0.0800821355236138,False,,,,2026Q1,negative,direct_failure,negative,direct_failure,negative,direct_failure,negative,direct_failure,negative,direct_failure,negative,direct_failure,negative,direct_failure
000006_sv_legacy_2,000006,sv_legacy,2026-03-10,2026-03-10,1,2026-03-12,signal_inactive,L2,2,5,True,True,False,1.3304,,,,,6.7447,7.8681,1.0285,3.3259,1.1189,0.4,1.2941,-1.6164,-1.5907,0.1095,False,False,0.4,double_positive_efficiency_improved,tuesday_B,True,observation,tuesday_reversal_observation,False,3.2768,-3.0668,6.3436,0.7762,shrinking,0.434285714285714,0.6678,True,True,False,False,True,False,True,False,True,1_1,-1.0067,4.3141,-1.9313,-6.1506,1.2182,-7.2081,-1.2277,0.6941,-7.2081,-10.4251,-3.6864,-14.1784,0,0.791,2.4664,0.8276,0.5605,000006_2026-03-10,True,True,False,1_1,,,tuesday_B,True,True,True,True,True,True,True,0.0,-0.0010940919037198,0.0054704595185994,-0.010940919037199,-0.0054704595185995,0.0054704595185994,-0.0207877461706782,-0.0120350109409191,0.0076586433260394,-0.0207877461706782,-0.0098468271334791,0.0131291028446389,-0.0207877461706782,-0.0765864332603939,0.0175054704595185,-0.12472647702407,-0.0590809628008753,0.0448577680525164,-0.12472647702407,-0.0579868708971554,0.0448577680525164,-0.1269146608315098,-0.0010940919037198,0.0054704595185994,-0.010940919037199,0.0076586433260394,0,-0.0195439739413681,False,True,5.0,-0.0153172866520788,0.0175054704595185,-0.039387308533917,-0.039387308533917,False,-0.0120350109409191,0.0076586433260394,3.0,2026Q1,neutral,direct_failure,negative,direct_failure,negative,direct_failure,negative,direct_failure,negative,direct_failure,negative,spike_then_fade,negative,spike_then_fade
000006_td_legacy_1,000006,td_legacy,2026-01-09,2026-01-09,1,2026-01-13,signal_inactive,L2,5,5,False,True,True,3.2553,1.5198,1.3875,0.1323,2.142,,,,,,,,-2.3553,4.1922,2.0101,False,,1.0,negative_to_positive,completed_week,True,eligible,legacy_negative_to_positive_completed_week,False,2.3185,1.4315,0.8871,1.9218,expanding,0.3528571428571428,0.6518,False,False,True,True,True,,,True,False,1_1,0.6085,3.0666,0.6944,1.0183,2.4218,-1.9324,-2.9354,2.983,-4.6948,-28.0638,-8.1946,-34.5161,1,-0.3024,2.6289,0.5484,2.8311,000006_2026-01-09,True,False,True,1_1,1.5198,0.1323,completed_week,True,True,True,True,True,True,True,-0.0157635467980296,-0.0275862068965516,0.0,-0.0453201970443351,-0.0581280788177339,0.0,-0.0600985221674876,-0.0679802955665024,0.0,-0.0847290640394088,-0.0926108374384235,0.0,-0.0975369458128079,-0.0403940886699507,0.0,-0.1133004926108375,-0.1172413793103447,0.0,-0.1527093596059113,-0.1152709359605911,0.0,-0.1527093596059113,-0.0120120120120119,0.0,-0.0453201970443351,0.0,1,-0.0679802955665024,False,True,5.0,-0.0157635467980296,0.0,-0.0975369458128079,-0.0926108374384235,False,,,,2026Q1,negative,direct_failure,negative,direct_failure,negative,direct_failure,negative,direct_failure,negative,direct_failure,negative,direct_failure,negative,direct_failure
000006_td_legacy_2,000006,td_legacy,2026-01-21,2026-01-23,2,2026-02-02,signal_inactive,L2,3,5,False,True,True,5.0054,7.5832,7.8078,-0.2246,1.1001,,,,,,,,-9.2611,2.0101,4.7774,False,,0.6,negative_to_positive,midweek_partial,True,eligible,legacy_negative_to_positive_midweek_partial,False,3.3191,2.0765,1.2426,2.1722,expanding,0.3835714285714286,0.8082,False,False,True,True,True,,,True,False,1_1,-2.3013,3.8304,-1.0256,-5.2738,0.7833,-7.4784,-4.499,-0.8986,-7.4784,-33.4758,-9.0695,-31.2678,1,-0.9636,4.3243,0.5618,4.2162,000006_2026-01-21,True,False,True,1_1,7.5832,-0.2246,midweek_partial,True,True,True,True,True,True,True,-0.0072538860103626,0.0,0.0134715025906735,-0.0362694300518133,0.0093264248704663,0.0134715025906735,-0.0362694300518133,-0.0352331606217616,0.0134715025906735,-0.0362694300518133,-0.0735751295336788,0.0134715025906735,-0.094300518134715,-0.0611398963730569,0.0134715025906735,-0.1088082901554404,-0.0310880829015545,0.0134715025906735,-0.1088082901554404,-0.0341968911917098,0.0207253886010361,-0.1088082901554404,0.0073068893528183,0.0134715025906735,-0.0362694300518133,0.0134715025906735,1,-0.0480572597137013,False,True,5.0,0.0082901554404144,0.0134715025906735,-0.1088082901554404,-0.0715025906735751,False,0.0093264248704663,0.0134715025906735,2.0,2026Q1,neutral,direct_failure,positive,delayed_start,negative,direct_failure,negative,direct_failure,negative,direct_failure,negative,direct_failure,negative,direct_failure
000006_td_legacy_3,000006,td_legacy,2026-02-04,2026-02-04,1,2026-02-06,signal_inactive,L2,3,5,False,True,True,2.9545,7.8768,7.9137,-0.0369,0.6252,,,,,,,,-8.0082,5.7546,1.1161,False,,0.6,negative_to_positive,midweek_partial,True,eligible,legacy_negative_to_positive_midweek_partial,False,2.027,1.9518,0.0752,1.1383,expanding,0.4064285714285715,0.4429,False,False,True,True,True,,,True,False,1_1,-0.8929,1.6379,-1.6287,-4.9251,-1.3931,-9.761,-9.9391,-3.427,-13.1352,-27.0337,-9.918,-25.7985,1,-0.7883,2.8377,0.9259,0.227,000006_2026-02-04,True,False,True,1_1,7.8768,-0.0369,midweek_partial,True,True,True,True,True,True,True,-0.0110375275938189,-0.0066225165562914,0.0077262693156732,-0.0132450331125828,-0.0088300220750552,0.009933774834437,-0.0264900662251655,0.0353200883002207,0.0518763796909491,-0.0264900662251655,0.0320088300220748,0.0518763796909491,-0.0264900662251655,0.0286975717439292,0.0871964679911698,-0.0264900662251655,-0.0386313465783664,0.0871964679911698,-0.0827814569536423,0.0033112582781456,0.0871964679911698,-0.0827814569536423,0.0044642857142855,0.0077262693156732,-0.0132450331125828,0.0518763796909491,0,-0.0157397691500522,False,True,5.0,0.0132450331125826,0.086092715231788,0.0033112582781456,0.0408388520971301,False,-0.0088300220750552,0.009933774834437,2.0,2026Q1,negative,direct_failure,negative,direct_failure,positive,delayed_start,positive,delayed_start,positive,delayed_start,negative,spike_then_fade,positive,deep_drawdown_recovery
000007_sv_legacy_1,000007,sv_legacy,2026-01-19,2026-01-19,1,2026-01-21,signal_inactive,L2,1,5,True,True,False,0.7993,6.2533,7.377,-1.1237,0.1278,3.5042,2.9876,0.4121,3.9964,0.6391,0.2,,-7.225,6.4685,0.4425,False,False,0.2,negative_to_positive,monday,True,eligible,legacy_negative_to_positive_monday,False,0.4425,0.2662,0.1763,0.8562,shrinking,0.5264285714285716,0.095,True,True,True,True,True,True,False,True,False,1_1,-7.225,-1.5441,-8.4677,-1.2238,-2.667,-11.8789,-1.9097,-2.416,-11.8789,53.3243,10.8128,-11.8789,1,-0.354,0.7993,0.9615,0.0888,000007_2026-01-19,True,True,True,1_1,6.2533,-1.1237,monday,True,True,True,True,True,True,True,0.0,-0.0325991189427312,0.0026431718061674,-0.037885462555066,-0.0061674008810572,0.0026431718061674,-0.0396475770925109,-0.0008810572687224,0.0026431718061674,-0.0396475770925109,0.0325991189427312,0.0484581497797358,-0.0396475770925109,-0.0317180616740088,0.0484581497797358,-0.0643171806167399,0.0837004405286345,0.0969162995594714,-0.0643171806167399,0.118942731277533,0.1409691629955949,-0.0643171806167399,-0.0325991189427312,0.0026431718061674,-0.037885462555066,0.0026431718061674,1,-0.0035149384885765,False,True,5.0,0.0132158590308371,0.0431718061674009,-0.0643171806167399,-0.0414096916299558,False,0.0167400881057269,0.0484581497797358,4.0,2026Q1,negative,direct_failure,negative,direct_failure,neutral,direct_failure,positive,delayed_start,negative,spike_then_fade,positive,deep_drawdown_recovery,positive,deep_drawdown_recovery
000007_sv_legacy_2,000007,sv_legacy,2026-04-14,2026-04-14,1,2026-04-16,signal_inactive,L2,2,5,True,True,False,-2.2677,,,,,-5.4053,-5.977,1.0982,-5.6693,1.1618,0.4,0.0,10.5901,-6.571,-2.3392,False,,0.4,none,tuesday_gate_failed,,unknown,insufficient_evidence,False,0.3003,-2.6316,2.9319,0.5577,shrinking,0.5799999999999998,0.069,True,True,False,False,True,False,True,False,True,u_1,7.6799,1.9536,-3.3285,0.6042,2.7534,-3.3285,-2.7027,-0.7429,-10.7548,9.5395,6.0233,-10.7548,0,0.6757,-0.3729,0.4062,1.044,000007_2026-04-14,,True,False,u_1,,,tuesday_gate_failed,True,True,True,True,True,True,True,0.0022455089820359,0.0022455089820359,0.0164670658682635,-0.0052395209580836,0.0247005988023951,0.0366766467065868,-0.0059880239520956,0.0172155688622754,0.0366766467065868,-0.0059880239520956,0.0276946107784432,0.0538922155688623,-0.0059880239520956,0.0875748502994013,0.0928143712574851,-0.0059880239520956,0.2881736526946108,0.3315868263473054,-0.0059880239520956,-0.0501497005988024,0.3315868263473054,-0.089820359281437,0.0,0.0164670658682635,-0.0052395209580836,0.0366766467065868,0,-0.0187725631768952,False,True,5.0,0.0172155688622754,0.0538922155688623,0.0089820359281438,0.0366766467065868,False,0.0172155688622754,0.0366766467065868,3.0,2026Q2,positive,immediate_continuation,positive,immediate_continuation,positive,immediate_continuation,positive,immediate_continuation,positive,immediate_continuation,positive,immediate_continuation,negative,spike_then_fade
000007_sv_legacy_3,000007,sv_legacy,2026-04-22,2026-04-22,1,2026-04-24,signal_inactive,L2,3,5,True,True,False,1.8396,3.4449,0.5852,2.8597,0.89,,,,,,,,-0.6579,10.5901,1.8396,False,,0.6,negative_to_positive,midweek_partial,True,eligible,legacy_negative_to_positive_midweek_partial,False,0.8012,-0.7231,1.5242,0.8893,shrinking,0.534285714285714,0.2059,True,True,False,False,True,False,True,False,True,1_1,2.7695,1.4217,-1.7045,11.626,2.663,-1.7045,4.0152,4.2247,-1.7045,21.5044,8.1489,-7.5484,0,0.6555,0.1447,0.7568,0.6512,000007_2026-04-22,True,True,False,1_1,3.4449,2.8597,midweek_partial,True,True,True,True,True,True,True,-0.0007225433526011,-0.0115606936416184,0.004335260115607,-0.0209537572254334,0.0007225433526012,0.0101156069364163,-0.0209537572254334,0.009393063583815,0.0223988439306359,-0.0209537572254334,0.0187861271676299,0.0549132947976878,-0.0209537572254334,0.1921965317919074,0.2854046242774566,-0.0209537572254334,-0.1156069364161849,0.2854046242774566,-0.1213872832369942,-0.0903179190751445,0.2854046242774566,-0.1632947976878612,-0.0108459869848156,0.004335260115607,-0.0209537572254334,0.0223988439306359,0,-0.012720848056537,False,True,4.0,0.0007225433526012,0.1206647398843929,-0.0158959537572253,0.1206647398843929,False,0.0007225433526012,0.0101156069364163,2.0,2026Q2,negative,direct_failure,neutral,direct_failure,positive,delayed_start,positive,delayed_start,positive,delayed_start,negative,spike_then_fade,negative,spike_then_fade
000007_sv_legacy_4,000007,sv_legacy,2026-06-12,2026-06-23,4,2026-06-25,signal_inactive,L2,5,5,False,True,True,14.2857,10.3252,10.1073,0.2179,1.3836,,,,,,,,8.6496,-9.069,14.3786,False,,1.0,double_positive_efficiency_improved,completed_week,True,eligible,legacy_double_positive_efficiency_improved_completed_week,False,1.0768,0.6503,0.4265,0.8351,shrinking,0.7892857142857143,0.19,True,True,True,True,True,True,False,True,False,1_1,11.8876,7.563,-2.4931,17.1573,12.7031,-2.4931,8.3204,13.7962,-2.4931,1.7531,4.8581,-20.8544,3,1.8665,-0.7752,0.48,1.0571,000007_2026-06-12,True,True,True,1_1,10.3252,0.2179,completed_week,True,True,True,True,True,True,True,0.0,0.0007102272727272,0.0142045454545456,-0.0234375,0.0184659090909091,0.0319602272727272,-0.0234375,-0.03125,0.0319602272727272,-0.0561079545454544,-0.0632102272727272,0.0319602272727272,-0.0866477272727272,-0.1271306818181817,0.0319602272727272,-0.1335227272727271,-0.0852272727272727,0.0319602272727272,-0.1519886363636363,-0.2890625,0.0319602272727272,-0.2904829545454546,0.0007102272727272,0.0142045454545456,-0.0234375,0.0319602272727272,0,-0.0612525808671714,True,True,4.0,0.0,0.0319602272727272,-0.0561079545454544,-0.0284090909090909,False,,,,2026Q2,neutral,direct_failure,positive,immediate_continuation,negative,spike_then_fade,negative,spike_then_fade,negative,spike_then_fade,negative,spike_then_fade,negative,spike_then_fade
000007_sv_legacy_5,000007,sv_legacy,2026-07-03,2026-07-03,1,2026-07-07,signal_inactive,L2,5,5,True,True,False,-4.1964,5.3207,6.3609,-1.0402,0.7887,,,,,,,,-7.4561,-2.8409,-4.4234,False,,1.0,none,completed_week,False,observation,legacy_not_passed_completed_week,False,0.8333,-2.3596,3.193,0.9439,normal,0.6607142857142859,0.1514,True,True,False,False,True,False,True,False,True,0_1,-7.9048,-1.8494,-6.2016,-12.0235,-5.7559,-13.5714,0.0834,-7.7884,-16.724,-6.7599,-9.1239,-31.9843,0,0.5,0.3317,0.3077,2.9851,000007_2026-07-03,False,True,False,0_1,5.3207,-1.0402,completed_week,True,True,True,True,True,True,True,0.0,0.0644628099173554,0.1,0.0,-0.0421487603305784,0.115702479338843,-0.0421487603305784,-0.074380165289256,0.115702479338843,-0.074380165289256,-0.0826446280991736,0.115702479338843,-0.1223140495867767,-0.2223140495867768,0.115702479338843,-0.2429752066115702,-0.228099173553719,0.115702479338843,-0.3264462809917354,-0.2380165289256197,0.115702479338843,-0.3264462809917354,0.0644628099173554,0.1,0.0,0.115702479338843,0,-0.1703703703703702,True,True,5.0,0.0,0.115702479338843,-0.1223140495867767,-0.0826446280991736,False,,,,2026Q3,positive,immediate_continuation,negative,spike_then_fade,negative,spike_then_fade,negative,spike_then_fade,negative,spike_then_fade,negative,spike_then_fade,negative,spike_then_fade
