dimension,signal_type,horizon,events,effective_n,stocks,dates,median,mean,positive_rate,result_negative_n,result_positive_n,result_neutral_n,path_direct_failure_n,path_immediate_continuation_n,path_spike_then_fade_n,path_deep_drawdown_recovery_n,path_delayed_start_n,result_unknown_n,path_unknown_n,weekly_base_pattern,weekly_weekday_path,weekly_eligibility_state,half
signal_type,sv_legacy,1,623,623,151,,-0.002169197396963,-0.0023295265465856653,0.4317817014446228,313,259.0,51.0,348,258.0,16.0,1.0,,,,,,,
signal_type,sv_legacy,2,623,623,151,,-0.0046511627906975,-0.004404415687725231,0.42696629213483145,333,257.0,33.0,326,193.0,40.0,9.0,55.0,,,,,,
signal_type,sv_legacy,3,623,623,151,,-0.0051643192488262,-0.0058097293597511685,0.42375601926163725,339,254.0,30.0,307,167.0,62.0,12.0,75.0,,,,,,
signal_type,sv_legacy,5,623,623,151,,-0.0072463768115941,-0.0033594269153611927,0.434991974317817,337,267.0,19.0,271,150.0,85.0,41.0,76.0,,,,,,
signal_type,sv_legacy,10,623,623,151,,-0.0169491525423729,-0.00955727761261244,0.4157303370786517,358,256.0,9.0,218,124.0,149.0,74.0,58.0,,,,,,
signal_type,sv_legacy,15,623,616,151,,-0.0186964333520995,-0.004130489009911023,0.4155844155844156,351,254.0,11.0,185,110.0,177.0,99.0,45.0,7.0,7.0,,,,
signal_type,sv_legacy,20,623,599,151,,-0.0310077519379845,-0.012354968162419749,0.3806343906510851,366,225.0,8.0,168,87.0,206.0,104.0,34.0,24.0,24.0,,,,
signal_type,td_legacy,1,437,437,141,,-0.003717472118959,-0.00211581669748127,0.4462242562929062,229,184.0,24.0,240,183.0,13.0,1.0,,,,,,,
signal_type,td_legacy,2,437,437,141,,-0.0045385779122542,-0.003179595985659026,0.42105263157894735,238,181.0,18.0,222,138.0,34.0,7.0,36.0,,,,,,
signal_type,td_legacy,3,437,437,141,,-0.005181347150259,-0.002000193647767757,0.43249427917620137,232,186.0,19.0,209,128.0,42.0,17.0,41.0,,,,,,
signal_type,td_legacy,5,437,437,141,,-0.0095541401273886,-0.00603369449194732,0.40274599542334094,249,171.0,17.0,199,109.0,67.0,21.0,41.0,,,,,,
signal_type,td_legacy,10,437,437,141,,-0.020912547528517,-0.01809080368396707,0.39359267734553777,259,171.0,7.0,152,88.0,114.0,51.0,32.0,,,,,,
signal_type,td_legacy,15,437,430,141,,-0.03318833651300155,-0.02208615804365404,0.37209302325581395,267,160.0,3.0,130,68.0,140.0,66.0,26.0,7.0,7.0,,,,
signal_type,td_legacy,20,437,422,141,,-0.0477667493796526,-0.032035609670331214,0.35071090047393366,272,146.0,4.0,120,55.0,156.0,70.0,21.0,15.0,15.0,,,,
weekly_base_pattern,,1,190,190,87,,-0.004526152703358349,-0.0038168102726618635,0.41578947368421054,98,73.0,19.0,112,73.0,5.0,,,,,double_positive_efficiency_improved,,,
weekly_base_pattern,,2,190,190,87,,-0.0016909082162806502,-0.0007138889617887191,0.4842105263157895,94,87.0,9.0,95,63.0,8.0,2.0,22.0,,,double_positive_efficiency_improved,,,
weekly_base_pattern,,3,190,190,87,,-0.0073563218390804,-0.0012531192971737028,0.4368421052631579,103,81.0,6.0,89,50.0,20.0,8.0,23.0,,,double_positive_efficiency_improved,,,
weekly_base_pattern,,5,190,190,87,,-0.00412055136464585,0.0013440012215188313,0.4368421052631579,98,81.0,11.0,79,47.0,30.0,15.0,19.0,,,double_positive_efficiency_improved,,,
weekly_base_pattern,,10,190,190,87,,-0.0178660093630302,-0.009735445894551813,0.3894736842105263,114,72.0,4.0,64,32.0,54.0,28.0,12.0,,,double_positive_efficiency_improved,,,
weekly_base_pattern,,15,190,185,87,,-0.0206185567010308,-0.007701156511089993,0.4,110,74.0,1.0,53,25.0,58.0,36.0,13.0,5.0,5.0,double_positive_efficiency_improved,,,
weekly_base_pattern,,20,190,183,87,,-0.0292236297504075,-0.018892730528793755,0.39344262295081966,109,71.0,3.0,48,22.0,64.0,37.0,12.0,7.0,7.0,double_positive_efficiency_improved,,,
weekly_base_pattern,,1,409,409,141,,-0.0015243902439024,-0.0012008602787958683,0.4669926650366748,201,182.0,26.0,218,182.0,9.0,,,,,negative_to_positive,,,
weekly_base_pattern,,2,409,409,141,,-0.0052219321148825,-0.004172836105909647,0.4083129584352078,227,164.0,18.0,218,131.0,27.0,3.0,30.0,,,negative_to_positive,,,
weekly_base_pattern,,3,409,409,141,,-0.004341534008683,-0.002855529243024421,0.44254278728606355,214,174.0,21.0,210,126.0,25.0,6.0,42.0,,,negative_to_positive,,,
weekly_base_pattern,,5,409,409,141,,-0.0115606936416184,-0.007971710851084623,0.38141809290953543,241,152.0,16.0,206,102.0,51.0,10.0,40.0,,,negative_to_positive,,,
weekly_base_pattern,,10,409,409,141,,-0.0166240409207161,-0.015144197617337691,0.4058679706601467,237,165.0,7.0,156,92.0,88.0,41.0,32.0,,,negative_to_positive,,,
weekly_base_pattern,,15,409,403,141,,-0.0227272727272727,-0.017050093330307995,0.38461538461538464,243,155.0,5.0,132,80.0,116.0,48.0,27.0,6.0,6.0,negative_to_positive,,,
weekly_base_pattern,,20,409,399,141,,-0.0315315315315316,-0.021950757452783562,0.3609022556390977,254,142.0,3.0,124,66.0,133.0,56.0,20.0,10.0,10.0,negative_to_positive,,,
weekly_base_pattern,,1,461,461,135,,-0.0041152263374486,-0.002515316983706985,0.420824295010846,243,188.0,30.0,258,186.0,15.0,2.0,,,,none,,,
weekly_base_pattern,,2,461,461,135,,-0.0056022408963585,-0.0049698601933382,0.41431670281995664,250,187.0,24.0,235,137.0,39.0,11.0,39.0,,,none,,,
weekly_base_pattern,,3,461,461,135,,-0.0053763440860215,-0.006697487827200643,0.40997830802603036,254,185.0,22.0,217,119.0,59.0,15.0,51.0,,,none,,,
weekly_base_pattern,,5,461,461,135,,-0.0065934065934064,-0.0037409500113795412,0.4511930585683297,247,205.0,9.0,185,110.0,71.0,37.0,58.0,,,none,,,
