code,date,evidence_level,session_ordinal_in_week,planned_sessions_this_week,monthly_completed_state,monthly_provisional_state,monthly_state_changed_this_month,week_realized_pct,t_eff,l_eff,eff_delta,volume_ratio_vs_prev_week,same_progress_return_delta_pct,cc_same_progress_return_delta_pct,same_progress_volume_ratio,planned_prorated_return_pct,planned_prorated_volume_ratio,early_week_evidence_strength,tuesday_recovery_ratio,prev_week_cc_pct,prev2_week_cc_pct,partial_week_cc_pct,momentum_context_positive,theory_stagnation_flag,week_completion,weekly_base_pattern,weekly_weekday_path,weekly_passed,weekly_eligibility_state,weekly_eligibility_reason,weekly_veto,r_today_pct,r_yesterday_pct,return_acceleration_pct,volume_ratio_vs_prev,activity_state,atr14_prev,atr_normalized_move,sv_raw,sv_legacy,td_raw,td_legacy,cap_passed,sv_continuation,sv_rebound,acc_continuation,acc_rebound,weekly_daily_cell,pre_return_5_pct,dist_to_prior_ma5_pct,dist_to_prior_high5_pct,pre_return_10_pct,dist_to_prior_ma10_pct,dist_to_prior_high10_pct,pre_return_20_pct,dist_to_prior_ma20_pct,dist_to_prior_high20_pct,pre_return_60_pct,dist_to_prior_ma60_pct,dist_to_prior_high60_pct,prior_up_streak,today_overnight_pct,today_intraday_pct,today_close_position,today_upper_shadow_pct
000006,2026-01-05,L2,1,5,False,True,True,-1.0173,2.9528,1.3875,1.5653,0.3445,1.8568,1.6162,0.8963,-5.0865,1.7226,0.2,,-2.3553,4.1922,-2.2111,False,,0.2,none,monday,False,observation,legacy_not_passed_monday,False,-2.2111,0.9128,-3.1238,1.1917,expanding,0.3557142857142856,-0.6185,False,False,False,False,True,,,False,False,0_0,0.2014,-2.4659,-5.9903,4.4071,-1.4584,-5.9903,0.7085,-1.8263,-8.6385,-3.3042,-13.3545,-37.2258,2,-1.206,-1.0173,0.6429,0.0
000006,2026-01-07,L2,3,5,False,True,True,-0.5086,,,,,,,,,,,,-2.3553,4.1922,-1.7085,False,,0.6,none,midweek_partial,False,observation,legacy_not_passed_midweek_partial,False,-0.8114,1.3361,-2.1474,1.1095,expanding,0.36571428571428555,-0.2188,False,False,False,False,True,,,False,False,0_0,-3.2385,-0.6098,-3.1683,0.818,-1.2121,-5.5072,-2.2795,-1.1372,-8.169,-17.4204,-12.4937,-36.9032,1,0.0,-0.8114,0.0909,2.2312
000006,2026-01-09,L2,5,5,False,True,True,3.2553,1.5198,1.3875,0.1323,2.142,,,,,,,,-2.3553,4.1922,2.0101,False,,1.0,negative_to_positive,completed_week,True,eligible,legacy_negative_to_positive_completed_week,False,2.3185,1.4315,0.8871,1.9218,expanding,0.3528571428571428,0.6518,False,False,True,True,True,,,True,False,1_1,0.6085,3.0666,0.6944,1.0183,2.4218,-1.9324,-2.9354,2.983,-4.6948,-28.0638,-8.1946,-34.5161,1,-0.3024,2.6289,0.5484,2.8311
000006,2026-01-13,L2,2,5,False,True,True,-4.3043,,,,,-4.6095,-4.9083,1.7141,-10.7608,1.4123,0.4,0.0,2.0101,-2.3553,-5.8128,False,,0.4,none,tuesday_gate_failed,,unknown,insufficient_evidence,False,-3.1408,-2.7586,-0.3822,0.7527,shrinking,0.37928571428571434,-0.8173,False,False,False,False,True,,,False,False,u_0,1.4388,-3.5902,-8.3413,-2.0833,-3.5415,-8.3413,-1.3,-2.8307,-8.3413,-13.7991,-13.0277,-38.3226,0,-0.1013,-3.0426,0.0392,1.927
000006,2026-01-15,L2,4,5,False,True,True,-6.8068,,,,,,,,,,,,2.0101,-2.3553,-8.2759,False,,0.8,none,midweek_partial,False,observation,legacy_not_passed_midweek_partial,False,-1.5856,-1.046,-0.5396,0.74,shrinking,0.4078571428571428,-0.3678,False,False,False,False,True,,,False,False,0_0,-3.272,-4.9224,-10.7383,-3.4694,-5.1355,-10.7383,-3.666,-4.9806,-10.7383,-21.2978,-14.6237,-39.9355,0,-0.5285,-1.0627,0.3871,0.9564
000006,2026-01-21,L2,3,5,False,True,True,5.0054,7.5832,7.8078,-0.2246,1.1001,,,,,,,,-9.2611,2.0101,4.7774,False,,0.6,negative_to_positive,midweek_partial,True,eligible,legacy_negative_to_positive_midweek_partial,False,3.3191,2.0765,1.2426,2.1722,expanding,0.3835714285714286,0.8082,False,False,True,True,True,,,True,False,1_1,-2.3013,3.8304,-1.0256,-5.2738,0.7833,-7.4784,-4.499,-0.8986,-7.4784,-33.4758,-9.0695,-31.2678,1,-0.9636,4.3243,0.5618,4.2162
000006,2026-01-23,L2,5,5,False,True,True,5.9848,5.5811,7.8078,-2.2267,1.0723,,,,,,,,-9.2611,2.0101,5.7546,False,,1.0,negative_to_positive,completed_week,True,eligible,legacy_negative_to_positive_completed_week,False,0.9326,0.0,0.9326,0.7904,shrinking,0.43,0.2093,True,True,True,True,True,False,True,False,True,1_1,3.652,3.617,-2.988,-2.7218,2.15,-6.6155,-1.7312,0.18,-6.6155,-24.6682,-7.2293,-28.8012,0,-0.1036,1.0373,0.7895,0.4149
000006,2026-02-02,L2,1,5,False,True,True,-1.0227,7.3547,7.9137,-0.559,0.1391,3.2938,1.6246,0.6497,-5.1136,0.6953,0.2,,-8.0082,5.7546,-2.7902,False,,0.2,none,monday,False,observation,legacy_not_passed_monday,False,-2.7902,-1.3216,-1.4686,0.6274,shrinking,0.435,-0.5747,False,False,False,False,True,,,False,False,0_0,-8.0082,-3.7569,-10.9407,-2.7144,-6.122,-13.247,-9.9497,-8.1369,-16.4909,-25.9504,-14.3517,-29.4737,0,-1.7857,-1.0227,0.1316,2.7273
000006,2026-02-04,L2,3,5,False,True,True,2.9545,7.8768,7.9137,-0.0369,0.6252,,,,,,,,-8.0082,5.7546,1.1161,False,,0.6,negative_to_positive,midweek_partial,True,eligible,legacy_negative_to_positive_midweek_partial,False,2.027,1.9518,0.0752,1.1383,expanding,0.40642857142857153,0.4429,False,False,True,True,True,,,True,False,1_1,-0.8929,1.6379,-1.6287,-4.9251,-1.3931,-9.761,-9.9391,-3.427,-13.1352,-27.0337,-9.918,-25.7985,1,-0.7883,2.8377,0.9259,0.227
000006,2026-02-06,L2,5,5,False,True,True,2.0455,3.4857,7.9137,-4.428,0.5868,,,,,,,,-8.0082,5.7546,0.2232,False,,1.0,negative_to_positive,completed_week,True,eligible,legacy_negative_to_positive_completed_week,False,-0.2222,-0.6623,0.44,1.1189,expanding,0.3871428571428573,-0.0517,False,False,False,False,True,,,False,False,1_0,-0.8811,0.6501,-1.6429,-6.7358,-0.9267,-8.18,-9.2742,-3.4357,-13.9022,-24.1147,-9.862,-24.2833,0,-0.8889,0.6726,0.4848,1.9058
