date,equity,cash,invested,n_pos,regime
2025-01-02,1000000.0,1000000.0,0.0,0,weak
2025-01-03,1000000.0,1000000.0,0.0,0,weak
2025-01-06,1000000.0,1000000.0,0.0,0,weak
2025-01-07,1000000.0,1000000.0,0.0,0,weak
2025-01-08,1000000.0,1000000.0,0.0,0,weak
2025-01-09,1000000.0,1000000.0,0.0,0,weak
2025-01-10,1000000.0,1000000.0,0.0,0,weak
2025-01-13,1000000.0,1000000.0,0.0,0,weak
2025-01-14,1000000.0,1000000.0,0.0,0,weak
2025-01-15,1000000.0,1000000.0,0.0,0,weak
2025-01-16,1000000.0,1000000.0,0.0,0,weak
2025-01-17,1000000.0,1000000.0,0.0,0,weak
2025-01-20,1000000.0,1000000.0,0.0,0,weak
2025-01-21,1000000.0,1000000.0,0.0,0,weak
2025-01-22,1000000.0,1000000.0,0.0,0,weak
2025-01-23,1000000.0,1000000.0,0.0,0,weak
2025-01-24,1000000.0,1000000.0,0.0,0,mid
2025-01-27,1000000.0,1000000.0,0.0,0,mid
2025-02-05,1000000.0,1000000.0,0.0,0,weak
2025-02-06,1000000.0,1000000.0,0.0,0,mid
2025-02-07,1000000.0,1000000.0,0.0,0,mid
2025-02-10,1000000.0,1000000.0,0.0,0,mid
2025-02-11,1000000.0,1000000.0,0.0,0,mid
2025-02-12,1000000.0,1000000.0,0.0,0,bull
2025-02-13,998064.0,800108.0,197956.0,1,bull
2025-02-14,990768.0,603380.0,387388.0,2,bull
2025-02-17,988458.0,597592.0,390866.0,2,bull
2025-02-18,961958.0,399952.0,562006.0,3,bull
2025-02-19,969698.0,585449.0,384249.0,2,bull
2025-02-20,970631.0,584081.0,386550.0,2,bull
2025-02-21,979229.0,390961.0,588268.0,3,bull
2025-02-24,999035.0,198571.0,800464.0,4,bull
2025-02-25,998963.0,3803.0,995160.0,5,bull
2025-02-26,1017049.0,3803.0,1013246.0,5,bull
2025-02-27,1042214.0,4888.0,1037326.0,5,bull
2025-02-28,1041914.0,246088.0,795826.0,4,weak
2025-03-03,1033888.0,631049.0,402839.0,2,weak
2025-03-04,1035216.0,826684.0,208532.0,1,mid
2025-03-05,1039064.0,1039064.0,0.0,0,bull
2025-03-06,1046456.0,832088.0,214368.0,1,bull
2025-03-07,1037234.0,624723.0,412511.0,2,bull
2025-03-10,1041724.0,417919.0,623805.0,3,bull
2025-03-11,1038729.0,408305.0,630424.0,3,bull
2025-03-12,1031320.0,401642.0,629678.0,3,bull
2025-03-13,1015883.0,196612.0,819271.0,4,bull
2025-03-14,1013620.0,401034.0,612586.0,3,bull
2025-03-17,1008837.0,199368.0,809469.0,4,bull
2025-03-18,1010688.0,199368.0,811320.0,4,bull
2025-03-19,1013121.0,199368.0,813753.0,4,bull
2025-03-20,1027347.0,398847.0,628500.0,3,bull
2025-03-21,1013032.0,398847.0,614185.0,3,mid
2025-03-24,1004218.0,585751.0,418467.0,2,mid
2025-03-25,1003071.0,793449.0,209622.0,1,mid
2025-03-26,1002266.0,793449.0,208817.0,1,mid
2025-03-27,996953.0,793449.0,203504.0,1,mid
2025-03-28,996953.0,996953.0,0.0,0,mid
2025-03-31,996953.0,996953.0,0.0,0,mid
2025-04-01,996953.0,996953.0,0.0,0,mid
2025-04-02,996953.0,996953.0,0.0,0,mid
2025-04-03,996953.0,996953.0,0.0,0,mid
2025-04-07,996953.0,996953.0,0.0,0,weak
2025-04-08,996953.0,996953.0,0.0,0,weak
2025-04-09,996953.0,996953.0,0.0,0,weak
2025-04-10,996953.0,996953.0,0.0,0,weak
2025-04-11,996953.0,996953.0,0.0,0,weak
2025-04-14,996953.0,996953.0,0.0,0,weak
2025-04-15,996953.0,996953.0,0.0,0,weak
2025-04-16,996953.0,996953.0,0.0,0,weak
2025-04-17,996953.0,996953.0,0.0,0,weak
2025-04-18,996953.0,996953.0,0.0,0,weak
2025-04-21,996953.0,996953.0,0.0,0,mid
2025-04-22,996953.0,996953.0,0.0,0,mid
2025-04-23,996953.0,996953.0,0.0,0,mid
2025-04-24,996953.0,996953.0,0.0,0,mid
2025-04-25,996953.0,996953.0,0.0,0,mid
2025-04-28,996953.0,996953.0,0.0,0,mid
2025-04-29,996953.0,996953.0,0.0,0,mid
2025-04-30,996953.0,996953.0,0.0,0,mid
2025-05-06,996953.0,996953.0,0.0,0,mid
