date,equity,cash,invested,n_pos,regime
2025-01-02,1000000.0,1000000.0,0.0,0,weak
2025-01-03,1000000.0,1000000.0,0.0,0,weak
2025-01-06,1000000.0,1000000.0,0.0,0,weak
2025-01-07,1000000.0,1000000.0,0.0,0,weak
2025-01-08,1000000.0,1000000.0,0.0,0,weak
2025-01-09,1000000.0,1000000.0,0.0,0,weak
2025-01-10,1000000.0,1000000.0,0.0,0,weak
2025-01-13,1000000.0,1000000.0,0.0,0,weak
2025-01-14,1000000.0,1000000.0,0.0,0,weak
2025-01-15,1000000.0,1000000.0,0.0,0,weak
2025-01-16,1000000.0,1000000.0,0.0,0,weak
2025-01-17,1000000.0,1000000.0,0.0,0,weak
2025-01-20,1000000.0,1000000.0,0.0,0,weak
2025-01-21,1000000.0,1000000.0,0.0,0,weak
2025-01-22,1000000.0,1000000.0,0.0,0,weak
2025-01-23,1000000.0,1000000.0,0.0,0,weak
2025-01-24,1000000.0,1000000.0,0.0,0,mid
2025-01-27,1000000.0,1000000.0,0.0,0,mid
2025-02-05,1000000.0,1000000.0,0.0,0,weak
2025-02-06,1000000.0,1000000.0,0.0,0,mid
2025-02-07,1000000.0,1000000.0,0.0,0,mid
2025-02-10,1000000.0,1000000.0,0.0,0,mid
2025-02-11,1000000.0,1000000.0,0.0,0,mid
2025-02-12,1000000.0,1000000.0,0.0,0,bull
2025-02-13,998920.0,800740.0,198180.0,1,bull
2025-02-14,998515.0,800740.0,197775.0,1,bull
2025-02-17,999055.0,999055.0,0.0,0,bull
2025-02-18,1000975.0,799375.0,201600.0,1,bull
2025-02-19,1012095.0,799375.0,212720.0,1,bull
2025-02-20,1017875.0,601225.0,416650.0,2,bull
2025-02-21,1024745.0,399430.0,625315.0,3,bull
2025-02-24,1050940.0,399430.0,651510.0,3,bull
2025-02-25,1060385.0,399430.0,660955.0,3,bull
2025-02-26,1082915.0,408340.0,674575.0,3,bull
2025-02-27,1111885.0,197515.0,914370.0,4,bull
2025-02-28,1110555.0,448765.0,661790.0,3,weak
2025-03-03,1117220.0,656005.0,461215.0,2,weak
2025-03-04,1098125.0,656005.0,442120.0,2,mid
2025-03-05,1102395.0,879505.0,222890.0,1,bull
2025-03-06,1110227.0,883099.0,227128.0,1,bull
2025-03-07,1108045.0,662899.0,445146.0,2,bull
2025-03-10,1119253.0,441549.0,677704.0,3,bull
2025-03-11,1123298.0,220029.0,903269.0,4,bull
2025-03-12,1126475.0,220029.0,906446.0,4,bull
2025-03-13,1119324.0,220029.0,899295.0,4,bull
2025-03-14,1128373.0,433629.0,694744.0,3,bull
2025-03-17,1122173.0,653679.0,468494.0,2,bull
2025-03-18,1126948.0,665430.0,461518.0,2,bull
2025-03-19,1117379.0,679849.0,437530.0,2,bull
2025-03-20,1127172.0,672661.0,454511.0,2,bull
2025-03-21,1120799.0,672661.0,448138.0,2,mid
2025-03-24,1117020.0,890346.0,226674.0,1,mid
2025-03-25,1120044.0,890346.0,229698.0,1,mid
2025-03-26,1117776.0,890346.0,227430.0,1,mid
2025-03-27,1133211.0,890346.0,242865.0,1,mid
2025-03-28,1131258.0,1131258.0,0.0,0,mid
2025-03-31,1131258.0,1131258.0,0.0,0,mid
2025-04-01,1131258.0,1131258.0,0.0,0,mid
2025-04-02,1131258.0,1131258.0,0.0,0,mid
2025-04-03,1131258.0,1131258.0,0.0,0,mid
2025-04-07,1131258.0,1131258.0,0.0,0,weak
2025-04-08,1131258.0,1131258.0,0.0,0,weak
2025-04-09,1131258.0,1131258.0,0.0,0,weak
2025-04-10,1131258.0,1131258.0,0.0,0,weak
2025-04-11,1131258.0,1131258.0,0.0,0,weak
2025-04-14,1131258.0,1131258.0,0.0,0,weak
2025-04-15,1131258.0,1131258.0,0.0,0,weak
2025-04-16,1131258.0,1131258.0,0.0,0,weak
2025-04-17,1131258.0,1131258.0,0.0,0,weak
2025-04-18,1131258.0,1131258.0,0.0,0,weak
2025-04-21,1131258.0,1131258.0,0.0,0,mid
2025-04-22,1131258.0,1131258.0,0.0,0,mid
2025-04-23,1131258.0,1131258.0,0.0,0,mid
2025-04-24,1131258.0,1131258.0,0.0,0,mid
2025-04-25,1131258.0,1131258.0,0.0,0,mid
2025-04-28,1131258.0,1131258.0,0.0,0,mid
2025-04-29,1131258.0,1131258.0,0.0,0,mid
