date,code,side,price,qty,value,reason
2025-02-13,600926,buy,14.76,13500.0,199260.0,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认
2025-02-17,600926,sell,14.69,13500.0,198315.0,E1_structural_stop
2025-02-18,301226,buy,24.96,8000.0,199680.0,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认
2025-02-20,605319,buy,26.42,7500.0,198150.0,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认
2025-02-21,605166,buy,12.23,16500.0,201795.0,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认
2025-02-26,301226,sell,27.27,8000.0,218160.0,E2_time_stop
2025-02-26,002755,buy,13.5,15500.0,209250.0,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认
2025-02-27,301226,buy,28.11,7500.0,210825.0,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认
2025-02-28,605319,sell,33.5,7500.0,251250.0,E2_time_stop
2025-03-03,605166,sell,12.56,16500.0,207240.0,E2_time_stop
2025-03-05,301226,sell,29.8,7500.0,223500.0,E3_trailing_drawdown
2025-03-06,002755,sell,14.38,15500.0,222890.0,E2_time_stop
2025-03-06,300253,buy,12.32,17800.0,219296.0,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认
2025-03-07,600926,buy,14.68,15000.0,220200.0,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认
2025-03-10,600983,buy,9.5,23300.0,221350.0,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认
2025-03-11,002112,buy,15.6,14200.0,221520.0,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认
2025-03-14,300253,sell,12.0,17800.0,213600.0,E2_time_stop
2025-03-17,600926,sell,14.67,15000.0,220050.0,E2_time_stop
2025-03-18,600983,sell,10.05,23300.0,234165.0,E2_time_stop
2025-03-18,300667,buy,19.51,11400.0,222414.0,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认
2025-03-19,002112,sell,16.75,14200.0,237850.0,E2_time_stop
2025-03-19,600983,buy,10.11,22100.0,223431.0,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认
2025-03-20,300667,sell,18.8,11400.0,214320.0,E1_structural_stop
2025-03-20,002653,buy,35.16,6300.0,221508.0,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认
2025-03-24,600983,sell,9.85,22100.0,217685.0,E1_structural_stop
2025-03-28,002653,sell,38.24,6300.0,240912.0,E2_time_stop
2025-05-08,002688,buy,6.32,35700.0,225624.0,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认
2025-05-09,000958,buy,6.59,34300.0,226037.0,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认
2025-05-12,002688,sell,6.16,35700.0,219912.0,E1_structural_stop
2025-05-12,000557,buy,5.4,41500.0,224100.0,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认
