date,equity,cash,invested,n_pos,regime
2026-01-05,1000000.0,1000000.0,0.0,0,bull
2026-01-06,1003423.0,800488.0,202935.0,1,bull
2026-01-07,1003252.0,601068.0,402184.0,2,bull
2026-01-08,1002852.0,400868.0,601984.0,3,bull
2026-01-09,1024042.0,203918.0,820124.0,4,bull
2026-01-12,1038860.0,3608.0,1035252.0,5,bull
2026-01-13,1016002.0,3608.0,1012394.0,5,bull
2026-01-14,1013006.0,201816.0,811190.0,4,bull
2026-01-15,1022469.0,198332.0,824137.0,4,bull
2026-01-16,1027663.0,217503.0,810160.0,4,bull
2026-01-19,1029426.0,222978.0,806448.0,4,bull
2026-01-20,1029586.0,212696.0,816890.0,4,bull
2026-01-21,1048905.0,199720.0,849185.0,4,bull
2026-01-22,1061745.0,199720.0,862025.0,4,bull
2026-01-23,1063075.0,187810.0,875265.0,4,bull
2026-01-26,1066505.0,187108.0,879397.0,4,bull
2026-01-27,1054737.0,188634.0,866103.0,4,bull
2026-01-28,1064591.0,653166.0,411425.0,2,bull
2026-01-29,1066989.0,653166.0,413823.0,2,bull
2026-01-30,1066999.0,856855.0,210144.0,1,bull
2026-02-02,1061148.0,854396.0,206752.0,1,mid
2026-02-03,1063384.0,854396.0,208988.0,1,mid
2026-02-04,1061564.0,854396.0,207168.0,1,mid
2026-02-05,1057352.0,854396.0,202956.0,1,mid
2026-02-06,1055896.0,1055896.0,0.0,0,mid
2026-02-09,1055896.0,1055896.0,0.0,0,bull
2026-02-10,1057116.0,844836.0,212280.0,1,bull
2026-02-11,1054204.0,633852.0,420352.0,2,bull
2026-02-12,1051847.0,633722.0,418125.0,2,bull
2026-02-13,1049618.0,632018.0,417600.0,2,mid
2026-02-24,1056113.0,632018.0,424095.0,2,bull
2026-02-25,1087520.0,422156.0,665364.0,3,bull
2026-02-26,1082019.0,211108.0,870911.0,4,bull
2026-02-27,1075413.0,211108.0,864305.0,4,bull
2026-03-02,1061181.0,218673.0,842508.0,4,bull
2026-03-03,1050527.0,644247.0,406280.0,2,bull
2026-03-04,1045512.0,846122.0,199390.0,1,mid
2026-03-05,1048809.0,1048809.0,0.0,0,mid
2026-03-06,1048809.0,1048809.0,0.0,0,bull
2026-03-09,1038281.0,841069.0,197212.0,1,mid
2026-03-10,1054684.0,841069.0,213615.0,1,bull
2026-03-11,1063285.0,633517.0,429768.0,2,bull
2026-03-12,1060673.0,422845.0,637828.0,3,bull
