window,feature,tercile,n,fwd5_mean,fwd5_win
W0 2021-12-2022-06,malignment,1,108518,-0.34326143011301413,0.4644759394754787
W0 2021-12-2022-06,malignment,2,34758,-0.7917413136315022,0.42939754876575176
W0 2021-12-2022-06,mom20,0,58562,-0.05111573577256801,0.49047163689764695
W0 2021-12-2022-06,mom20,1,44730,-0.6224505106090111,0.44189581936060807
W0 2021-12-2022-06,mom20,2,39122,-0.8431692157997764,0.4226777772097541
W0 2021-12-2022-06,mom60,0,54634,-0.22895036545941544,0.48965845444228867
W0 2021-12-2022-06,mom60,1,42661,-0.2820625317433601,0.4644523100724315
W0 2021-12-2022-06,mom60,2,43138,-0.8557265490879788,0.4091520237377718
W0 2021-12-2022-06,vr20,0,48868,-0.5229383931178306,0.45070393713677664
W0 2021-12-2022-06,vr20,1,46858,-0.40260436545670725,0.46301592044047973
W0 2021-12-2022-06,vr20,2,46733,-0.41631561026221087,0.4562086748122312
W1 2022-06-2022-12,malignment,1,105204,0.4262760370272977,0.4976616858674575
W1 2022-06-2022-12,malignment,2,49967,-0.015979461610338776,0.4571016871134949
W1 2022-06-2022-12,mom20,0,40271,0.35420707530166146,0.4808174616970028
W1 2022-06-2022-12,mom20,1,54104,0.36303316909485434,0.5014601508206418
W1 2022-06-2022-12,mom20,2,59711,0.18753369515405985,0.473832292207466
W1 2022-06-2022-12,mom60,0,42823,0.8404077793011681,0.5210751231814679
W1 2022-06-2022-12,mom60,1,54800,0.42943291260835587,0.5013503649635036
W1 2022-06-2022-12,mom60,2,54316,-0.24527382330407255,0.44230061123794095
W1 2022-06-2022-12,vr20,0,49998,0.1787563598076669,0.4787391495659826
W1 2022-06-2022-12,vr20,1,52008,0.3961646780873317,0.4965966774342409
W1 2022-06-2022-12,vr20,2,52133,0.29754760240421163,0.48038670323979055
W2 2022-12-2023-06,malignment,1,108449,0.06613051464843159,0.46376637866646997
W2 2022-12-2023-06,malignment,2,46931,0.07007127288598952,0.4728004943427585
W2 2022-12-2023-06,mom20,0,39678,0.47897036538917953,0.5036796209486365
W2 2022-12-2023-06,mom20,1,64178,-0.10606196654011751,0.45127613824051854
W2 2022-12-2023-06,mom20,2,50812,-0.01633217161462036,0.4577658820751004
W2 2022-12-2023-06,mom60,0,23019,-0.12655277221577813,0.46022850688561623
W2 2022-12-2023-06,mom60,1,60998,0.15277111588485418,0.47727794353913244
W2 2022-12-2023-06,mom60,2,69257,0.0761268085751899,0.4598235557416579
W2 2022-12-2023-06,vr20,0,52884,0.08392484015553257,0.4690832766054005
W2 2022-12-2023-06,vr20,1,51583,0.11870960772229273,0.47137622860244655
W2 2022-12-2023-06,vr20,2,50237,0.01498406464447256,0.4598403567091984
W3 2023-06-2023-12,malignment,1,117997,0.18011655724133066,0.4718509792621846
W3 2023-06-2023-12,malignment,2,45642,-0.41305597421491413,0.4310722580079751
W3 2023-06-2023-12,mom20,0,36949,0.584354951368357,0.5040461176215865
W3 2023-06-2023-12,mom20,1,79717,0.002507078394983049,0.46273693189658416
W3 2023-06-2023-12,mom20,2,46386,-0.3799384390570206,0.4231664726426077
W3 2023-06-2023-12,mom60,0,41627,0.3616981502248178,0.49828236481130034
W3 2023-06-2023-12,mom60,1,71814,0.14096760822596524,0.4734035146350294
W3 2023-06-2023-12,mom60,2,48137,-0.4290970385462294,0.4097887280054843
W3 2023-06-2023-12,vr20,0,52029,0.04449331653509613,0.4522477848891964
W3 2023-06-2023-12,vr20,1,56499,0.052452195208325975,0.46873395989309546
W3 2023-06-2023-12,vr20,2,54556,-0.021310084524541355,0.46084756946990246
W4 2023-12-2024-06,malignment,1,120384,-0.6543786415123708,0.42842072036150985
W4 2023-12-2024-06,malignment,2,40288,-0.5256998146655861,0.4450953137410643
W4 2023-12-2024-06,mom20,0,58093,0.2722753937085449,0.49496496996195755
W4 2023-12-2024-06,mom20,1,55393,-1.1938088858147122,0.3859693463072951
W4 2023-12-2024-06,mom20,2,46906,-1.0343127762301443,0.4110987933313435
W4 2023-12-2024-06,mom60,0,62701,0.8097744326949592,0.5359723130412594
W4 2023-12-2024-06,mom60,1,52531,-1.4974060482090714,0.37459785650377875
W4 2023-12-2024-06,mom60,2,44548,-1.5919142977838043,0.35554907066534974
W4 2023-12-2024-06,vr20,0,49161,-0.8507485024428486,0.4195398791725148
W4 2023-12-2024-06,vr20,1,55208,-0.9939475014021057,0.418001014345747
W4 2023-12-2024-06,vr20,2,56037,-0.03865895207162684,0.45894676731445294
W5 2024-06-2024-12,malignment,1,118382,1.3807241639185306,0.49739825311280433
