window,combo,n,fwd5_mean,fwd5_win
W0 2021-12-2022-06,baseline,90951,-0.4739049690941084,0.45323305955954307
W0 2021-12-2022-06,pullback_holds,23361,-0.2687434386778004,0.47035657720131846
W0 2021-12-2022-06,pullback_holds+shrinking_volume_acceleration,4499,-0.053330041392249,0.4836630362302734
W0 2021-12-2022-06,pullback_holds+shrinking_volume_acceleration+two_day_acceleration,836,-0.33295376291939194,0.4784688995215311
W0 2021-12-2022-06,pullback_holds+two_day_acceleration,1730,-0.4365212154094345,0.4549132947976879
W0 2021-12-2022-06,shrinking_volume_acceleration,13233,-0.6414023451640033,0.44789541298269475
W0 2021-12-2022-06,shrinking_volume_acceleration+two_day_acceleration,2655,-0.3897185468249406,0.47984934086629
W0 2021-12-2022-06,two_day_acceleration,6011,-0.7641489364696545,0.42505406754283814
W1 2022-06-2022-12,baseline,95659,0.2871503388843784,0.4820037842753949
W1 2022-06-2022-12,pullback_holds,29302,0.24585761976553056,0.49235547061634016
W1 2022-06-2022-12,pullback_holds+shrinking_volume_acceleration,4546,0.10746686966717225,0.471623405191377
W1 2022-06-2022-12,pullback_holds+shrinking_volume_acceleration+two_day_acceleration,851,0.2023085923397198,0.518213866039953
W1 2022-06-2022-12,pullback_holds+two_day_acceleration,1863,0.20264581995397501,0.5190552871712292
W1 2022-06-2022-12,shrinking_volume_acceleration,12524,0.5041666424097637,0.48866176940274675
W1 2022-06-2022-12,shrinking_volume_acceleration+two_day_acceleration,2810,0.4147367297376018,0.49466192170818507
W1 2022-06-2022-12,two_day_acceleration,7616,0.11253056659161484,0.4725577731092437
W2 2022-12-2023-06,baseline,88371,0.11936797844050352,0.46947528035215175
W2 2022-12-2023-06,pullback_holds,35040,-0.0231021958413967,0.459046803652968
W2 2022-12-2023-06,pullback_holds+shrinking_volume_acceleration,6086,-0.009503049993535925,0.4631942162339796
W2 2022-12-2023-06,pullback_holds+shrinking_volume_acceleration+two_day_acceleration,1086,0.28762679839856276,0.48987108655616945
W2 2022-12-2023-06,pullback_holds+two_day_acceleration,2308,-0.1499130882784041,0.4540727902946274
W2 2022-12-2023-06,shrinking_volume_acceleration,12779,0.04496246018166731,0.4634947961499335
W2 2022-12-2023-06,shrinking_volume_acceleration+two_day_acceleration,2293,-0.008580963915998809,0.474051460968164
W2 2022-12-2023-06,two_day_acceleration,7417,0.03474579331012424,0.47215855467170015
W3 2023-06-2023-12,baseline,90850,0.15331700770103124,0.4717556411667584
W3 2023-06-2023-12,pullback_holds,42035,-0.16685244092852933,0.4514333293683835
W3 2023-06-2023-12,pullback_holds+shrinking_volume_acceleration,6280,-0.45023566987367003,0.41703821656050954
W3 2023-06-2023-12,pullback_holds+shrinking_volume_acceleration+two_day_acceleration,1183,-0.34195023183816586,0.43364327979712597
W3 2023-06-2023-12,pullback_holds+two_day_acceleration,2740,-0.26485093833277007,0.4215328467153285
W3 2023-06-2023-12,shrinking_volume_acceleration,10980,0.11839678203993698,0.464207650273224
W3 2023-06-2023-12,shrinking_volume_acceleration+two_day_acceleration,2303,0.05274993742491855,0.4489795918367347
W3 2023-06-2023-12,two_day_acceleration,7268,-0.27221742378988456,0.4263896532746285
W4 2023-12-2024-06,baseline,106347,-0.4692210175628072,0.44614328565920996
W4 2023-12-2024-06,pullback_holds,25344,-1.0033839042915853,0.3939393939393939
W4 2023-12-2024-06,pullback_holds+shrinking_volume_acceleration,4174,-0.8924032536378603,0.4012937230474365
W4 2023-12-2024-06,pullback_holds+shrinking_volume_acceleration+two_day_acceleration,899,-0.33839007049767716,0.42046718576195774
W4 2023-12-2024-06,pullback_holds+two_day_acceleration,1625,-0.6634235825063358,0.392
W4 2023-12-2024-06,shrinking_volume_acceleration,12147,-1.2075804823611052,0.3963941714003458
W4 2023-12-2024-06,shrinking_volume_acceleration+two_day_acceleration,3250,-0.5774966216249229,0.456
W4 2023-12-2024-06,two_day_acceleration,6886,-0.4318315383093737,0.4487365669474296
W5 2024-06-2024-12,baseline,107286,1.3508822076158806,0.494948082694853
W5 2024-06-2024-12,pullback_holds,26191,0.7781819303502275,0.4485128479248597
W5 2024-06-2024-12,pullback_holds+shrinking_volume_acceleration,4589,0.8450106416252443,0.4571802135541512
W5 2024-06-2024-12,pullback_holds+shrinking_volume_acceleration+two_day_acceleration,1014,0.05200195887371091,0.47041420118343197
W5 2024-06-2024-12,pullback_holds+two_day_acceleration,1842,0.5291079696566984,0.4554831704668838
W5 2024-06-2024-12,shrinking_volume_acceleration,14675,1.4147057983864397,0.5178194207836456
W5 2024-06-2024-12,shrinking_volume_acceleration+two_day_acceleration,3020,1.5132459187205458,0.5062913907284768
