half,trend,n,fwd5_med,fwd10_med,fwd20_med,fwd10_mean,mae10_med,mfe10_med,mfe_mae_ratio
2023H1,ma_bull,407.0,-0.0187,-0.0239,-0.03,-0.0193,-0.0628,0.037,0.5893
2023H1,macd_cross,16.0,-0.0103,-0.0292,-0.0486,-0.0169,-0.0611,0.0264,0.4316
2023H1,macd_stabilizing,44.0,0.0075,0.0164,-0.0116,0.0284,-0.0249,0.0489,1.963
2023H1,none,535.0,-0.0147,-0.0196,-0.0301,-0.0158,-0.0535,0.0316,0.5914
2023H2,ma_bull,372.0,-0.0087,-0.0159,-0.0367,-0.0149,-0.0396,0.0329,0.8309
2023H2,macd_cross,39.0,-0.0022,0.0042,-0.0148,-0.0014,-0.0211,0.0367,1.7443
2023H2,macd_stabilizing,56.0,0.0057,-0.0051,-0.0151,-0.0001,-0.0217,0.031,1.4263
2023H2,none,771.0,-0.0089,-0.0179,-0.0293,-0.0151,-0.045,0.0275,0.6107
2024H1,ma_bull,320.0,-0.0029,-0.0031,0.0013,0.0017,-0.038,0.0444,1.1667
2024H1,macd_cross,14.0,-0.0008,-0.0032,-0.0201,0.0374,-0.0436,0.0429,0.9837
2024H1,macd_stabilizing,18.0,-0.0186,-0.0271,-0.0926,-0.0292,-0.08,0.0255,0.3186
2024H1,none,300.0,-0.005,-0.0127,-0.0526,-0.0074,-0.0583,0.0504,0.8644
2024H2,ma_bull,413.0,-0.0146,-0.026,-0.0414,-0.0258,-0.0604,0.0434,0.7183
2024H2,macd_cross,10.0,0.0287,0.0249,-0.0257,0.0175,-0.0324,0.0906,2.7942
2024H2,macd_stabilizing,21.0,0.0111,0.0103,0.0169,0.0178,-0.0486,0.0495,1.0198
2024H2,none,260.0,-0.0051,-0.0113,-0.0232,-0.0051,-0.0402,0.0391,0.971
2025H1,ma_bull,1096.0,-0.0031,-0.0016,0.0129,0.005,-0.0459,0.0561,1.2218
2025H1,macd_cross,104.0,-0.0134,-0.0018,0.0093,-0.0069,-0.0503,0.0403,0.802
2025H1,macd_stabilizing,185.0,0.0065,0.0118,0.0136,0.0051,-0.0277,0.0432,1.5591
2025H1,none,2192.0,-0.0033,0.0015,0.0117,0.0074,-0.0379,0.0418,1.1024
2025H2,ma_bull,3277.0,0.0018,0.006,0.0049,0.0198,-0.0441,0.0602,1.3655
2025H2,macd_cross,158.0,-0.0036,0.003,0.0078,0.0138,-0.0412,0.0472,1.1458
2025H2,macd_stabilizing,304.0,0.0014,0.0179,0.0288,0.0201,-0.0276,0.0436,1.5804
2025H2,none,3565.0,0.0037,0.0091,0.0165,0.0197,-0.0332,0.0485,1.4602
2026H1,ma_bull,1565.0,-0.0006,-0.0044,-0.0322,0.0117,-0.0592,0.0676,1.1426
2026H1,macd_cross,153.0,-0.003,0.0,-0.0144,0.0114,-0.0496,0.0584,1.176
2026H1,macd_stabilizing,176.0,-0.0011,-0.0033,-0.0339,-0.0001,-0.0388,0.036,0.9275
2026H1,none,2654.0,0.0035,-0.0023,-0.0234,0.0026,-0.045,0.0517,1.1488
2026H2,ma_bull,42.0,-0.0192,-0.0388,-0.1948,-0.0461,-0.0611,0.0497,0.814
2026H2,macd_cross,13.0,-0.0229,-0.0201,-0.0273,-0.0199,-0.0717,0.0306,0.4266
2026H2,macd_stabilizing,12.0,0.0162,0.0132,0.0399,0.0052,-0.0198,0.0837,4.2289
2026H2,none,332.0,-0.0139,-0.0178,-0.0195,-0.0109,-0.0654,0.0489,0.7481
