half,trend,n,fwd5_med,fwd10_med,fwd20_med,fwd10_mean,mae10_med,mfe10_med,mfe_mae_ratio
2022H1,ma_bull,199.0,-0.0005,-0.0021,0.002,0.0089,-0.0544,0.0582,1.0698
2022H1,macd_cross,323.0,0.0131,0.0193,0.0114,0.0227,-0.0296,0.064,2.1622
2022H1,macd_stabilizing,61.0,-0.0038,0.0047,0.0192,0.004,-0.0269,0.0401,1.4925
2022H1,none,4670.0,0.0012,-0.0007,-0.0046,-0.0007,-0.0446,0.0512,1.1485
2022H2,ma_bull,1381.0,-0.0083,-0.0267,-0.032,-0.0151,-0.0674,0.0478,0.71
2022H2,macd_cross,377.0,-0.0092,-0.0135,-0.0212,-0.0097,-0.0435,0.0299,0.6873
2022H2,macd_stabilizing,339.0,0.003,-0.0018,0.0052,-0.003,-0.039,0.0293,0.7515
2022H2,none,4706.0,-0.0048,-0.0107,-0.0152,-0.0057,-0.0468,0.0371,0.7916
2023H1,ma_bull,3108.0,-0.0064,-0.0098,-0.0098,-0.004,-0.0428,0.037,0.8648
2023H1,macd_cross,362.0,0.0063,0.0223,0.0179,0.0232,-0.0191,0.0499,2.6146
2023H1,macd_stabilizing,654.0,0.0016,0.0167,0.0203,0.0154,-0.0242,0.036,1.4882
2023H1,none,6232.0,-0.0005,0.0083,0.0112,0.0111,-0.0301,0.0386,1.2834
2023H2,ma_bull,960.0,-0.011,-0.0214,-0.0424,-0.016,-0.0429,0.0269,0.6258
2023H2,macd_cross,418.0,-0.0016,-0.0093,-0.027,-0.0105,-0.0288,0.0255,0.8846
2023H2,macd_stabilizing,434.0,-0.0026,-0.0103,-0.0267,-0.0093,-0.0288,0.0185,0.6422
2023H2,none,4562.0,-0.0055,-0.0133,-0.0369,-0.0119,-0.0349,0.0239,0.6849
2024H1,ma_bull,1119.0,-0.01,-0.0171,-0.0373,-0.0137,-0.0465,0.0345,0.7409
2024H1,macd_cross,485.0,-0.0184,-0.0228,-0.0618,-0.0236,-0.0658,0.0411,0.6251
2024H1,macd_stabilizing,260.0,-0.0127,-0.0321,-0.0464,-0.0123,-0.0585,0.0261,0.4456
2024H1,none,5023.0,-0.0055,-0.0088,-0.0336,-0.0062,-0.0539,0.0482,0.8938
2024H2,ma_bull,3886.0,0.0059,0.0066,-0.0141,0.0192,-0.0462,0.0694,1.5031
2024H2,macd_cross,146.0,0.0763,0.0348,0.1009,0.0705,-0.0136,0.226,16.6656
2024H2,macd_stabilizing,110.0,0.0478,0.0353,0.077,0.0732,-0.0151,0.1525,10.1075
2024H2,none,1798.0,0.0145,0.0231,0.0238,0.0412,-0.0292,0.0792,2.7087
2025H1,ma_bull,2481.0,-0.0033,0.0007,0.0163,0.0057,-0.0431,0.0498,1.1554
2025H1,macd_cross,598.0,-0.0011,0.0037,0.0092,0.0134,-0.034,0.0423,1.2437
2025H1,macd_stabilizing,858.0,0.0069,0.018,0.0271,0.0188,-0.0182,0.0409,2.2498
2025H1,none,7936.0,0.0022,0.009,0.0199,0.0151,-0.031,0.044,1.4182
2025H2,ma_bull,5442.0,0.0026,0.0069,0.0086,0.018,-0.0381,0.0552,1.4463
2025H2,macd_cross,440.0,0.0016,0.0061,0.0091,0.0125,-0.0282,0.0416,1.475
2025H2,macd_stabilizing,666.0,0.0,0.0092,0.0173,0.0135,-0.0247,0.0326,1.3163
2025H2,none,6889.0,0.0038,0.0095,0.0167,0.0207,-0.0279,0.0441,1.5791
2026H1,ma_bull,2031.0,-0.0024,-0.0074,-0.0377,0.0073,-0.0592,0.0612,1.034
2026H1,macd_cross,414.0,-0.0062,-0.0067,-0.031,-0.0007,-0.0491,0.0417,0.8503
2026H1,macd_stabilizing,641.0,0.0,0.0,-0.0113,0.0045,-0.0301,0.0309,1.0249
2026H1,none,6590.0,-0.0027,-0.012,-0.0336,-0.0078,-0.0482,0.0411,0.8536
2026H2,ma_bull,103.0,-0.0147,-0.0138,-0.0666,-0.0187,-0.0518,0.0356,0.6881
2026H2,macd_cross,306.0,-0.0049,-0.0062,0.0133,0.0033,-0.045,0.0364,0.808
2026H2,macd_stabilizing,34.0,-0.0155,-0.0106,-0.005,-0.0144,-0.0457,0.0257,0.561
2026H2,none,2272.0,-0.0069,-0.0087,-0.0024,-0.0022,-0.0478,0.0376,0.7872
