date,equity,cash,invested,n_pos,regime
2025-01-02,1000000.0,1000000.0,0.0,0,weak
2025-01-03,1000000.0,1000000.0,0.0,0,weak
2025-01-06,1000000.0,1000000.0,0.0,0,weak
2025-01-07,1000000.0,1000000.0,0.0,0,weak
2025-01-08,1000000.0,1000000.0,0.0,0,weak
2025-01-09,1000000.0,1000000.0,0.0,0,weak
2025-01-10,1000000.0,1000000.0,0.0,0,weak
2025-01-13,1000000.0,1000000.0,0.0,0,weak
2025-01-14,1000000.0,1000000.0,0.0,0,weak
2025-01-15,1000000.0,1000000.0,0.0,0,weak
2025-01-16,1000000.0,1000000.0,0.0,0,weak
2025-01-17,1000000.0,1000000.0,0.0,0,weak
2025-01-20,1000000.0,1000000.0,0.0,0,weak
2025-01-21,1000000.0,1000000.0,0.0,0,weak
2025-01-22,1000000.0,1000000.0,0.0,0,weak
2025-01-23,1000000.0,1000000.0,0.0,0,weak
2025-01-24,1000000.0,1000000.0,0.0,0,mid
2025-01-27,1000000.0,1000000.0,0.0,0,mid
2025-02-05,1000000.0,1000000.0,0.0,0,weak
2025-02-06,1000000.0,1000000.0,0.0,0,mid
2025-02-07,1000000.0,1000000.0,0.0,0,mid
2025-02-10,1000000.0,1000000.0,0.0,0,mid
2025-02-11,1000000.0,1000000.0,0.0,0,mid
2025-02-12,1000000.0,1000000.0,0.0,0,bull
2025-02-13,998962.0,800012.0,198950.0,1,bull
2025-02-14,998962.0,800012.0,198950.0,1,bull
2025-02-17,998270.0,800012.0,198258.0,1,bull
2025-02-18,997924.0,997924.0,0.0,0,bull
2025-02-19,996892.0,798748.0,198144.0,1,bull
2025-02-20,995860.0,798748.0,197112.0,1,bull
2025-02-21,994828.0,798748.0,196080.0,1,bull
2025-02-24,994484.0,994484.0,0.0,0,bull
2025-02-25,991364.0,796104.0,195260.0,1,bull
2025-02-26,989465.0,600594.0,388871.0,2,bull
2025-02-27,990450.0,796764.0,193686.0,1,bull
2025-02-28,979278.0,796764.0,182514.0,1,weak
2025-03-03,980988.0,980988.0,0.0,0,weak
2025-03-04,980988.0,980988.0,0.0,0,mid
2025-03-05,980988.0,980988.0,0.0,0,bull
2025-03-06,987984.0,785100.0,202884.0,1,bull
2025-03-07,984517.0,589529.0,394988.0,2,bull
2025-03-10,995315.0,393279.0,602036.0,3,bull
2025-03-11,999175.0,388276.0,610899.0,3,bull
2025-03-12,997705.0,388276.0,609429.0,3,bull
2025-03-13,990530.0,388276.0,602254.0,3,bull
2025-03-14,992671.0,381886.0,610785.0,3,bull
2025-03-17,987783.0,184201.0,803582.0,4,bull
2025-03-18,992362.0,184150.0,808212.0,4,bull
2025-03-19,979629.0,197860.0,781769.0,4,bull
2025-03-20,989640.0,194360.0,795280.0,4,bull
2025-03-21,982891.0,194360.0,788531.0,4,mid
2025-03-24,981420.0,395015.0,586405.0,3,mid
2025-03-25,983715.0,783185.0,200530.0,1,mid
2025-03-26,981735.0,783185.0,198550.0,1,mid
2025-03-27,995210.0,783185.0,212025.0,1,mid
2025-03-28,993505.0,993505.0,0.0,0,mid
2025-03-31,993505.0,993505.0,0.0,0,mid
2025-04-01,993505.0,993505.0,0.0,0,mid
2025-04-02,993505.0,993505.0,0.0,0,mid
2025-04-03,993505.0,993505.0,0.0,0,mid
2025-04-07,993505.0,993505.0,0.0,0,weak
2025-04-08,993505.0,993505.0,0.0,0,weak
2025-04-09,993505.0,993505.0,0.0,0,weak
2025-04-10,993505.0,993505.0,0.0,0,weak
2025-04-11,993505.0,993505.0,0.0,0,weak
2025-04-14,993505.0,993505.0,0.0,0,weak
2025-04-15,993505.0,993505.0,0.0,0,weak
2025-04-16,993505.0,993505.0,0.0,0,weak
2025-04-17,993505.0,993505.0,0.0,0,weak
2025-04-18,993505.0,993505.0,0.0,0,weak
2025-04-21,993505.0,993505.0,0.0,0,mid
2025-04-22,993505.0,993505.0,0.0,0,mid
2025-04-23,993505.0,993505.0,0.0,0,mid
2025-04-24,993505.0,993505.0,0.0,0,mid
2025-04-25,993505.0,993505.0,0.0,0,mid
2025-04-28,993505.0,993505.0,0.0,0,mid
2025-04-29,993505.0,993505.0,0.0,0,mid
2025-04-30,993505.0,993505.0,0.0,0,mid
2025-05-06,993505.0,993505.0,0.0,0,mid
2025-05-07,993505.0,993505.0,0.0,0,bull
