date,code,side,reason
2025-02-13,601577,buy,daily_add_cap_exceeded:30%
2025-02-19,601577,buy,daily_add_cap_exceeded:30%
2025-03-06,600908,buy,daily_add_cap_exceeded:30%
2025-03-06,601577,buy,daily_add_cap_exceeded:30%
2025-03-07,688123,buy,daily_add_cap_exceeded:30%
2025-03-14,600908,buy,daily_add_cap_exceeded:30%
2025-03-14,603306,buy,daily_add_cap_exceeded:30%
2025-03-17,603150,buy,daily_add_cap_exceeded:30%
2025-03-17,603306,buy,daily_add_cap_exceeded:30%
2025-03-18,600688,buy,daily_add_cap_exceeded:30%
2025-05-09,002742,buy,daily_add_cap_exceeded:30%
2025-05-09,300181,buy,daily_add_cap_exceeded:30%
2025-05-12,300181,buy,daily_add_cap_exceeded:30%
2025-05-12,600346,buy,daily_add_cap_exceeded:30%
2025-05-13,300773,buy,daily_add_cap_exceeded:30%
2025-05-16,002653,buy,daily_add_cap_exceeded:30%
2025-05-21,600822,buy,daily_add_cap_exceeded:30%
2025-05-26,601577,buy,daily_add_cap_exceeded:30%
2025-05-30,600605,buy,daily_add_cap_exceeded:30%
2025-06-04,600887,buy,daily_add_cap_exceeded:30%
2025-06-04,601577,buy,daily_add_cap_exceeded:30%
2025-06-05,002753,buy,daily_add_cap_exceeded:30%
2025-06-05,600605,buy,daily_add_cap_exceeded:30%
2025-06-09,601577,buy,daily_add_cap_exceeded:30%
2025-06-10,002422,buy,daily_add_cap_exceeded:30%
2025-06-10,600605,buy,daily_add_cap_exceeded:30%
2025-06-12,300255,buy,daily_add_cap_exceeded:30%
2025-06-17,601577,buy,daily_add_cap_exceeded:30%
2025-06-18,000958,buy,daily_add_cap_exceeded:30%
2025-06-18,600605,buy,daily_add_cap_exceeded:30%
2025-06-25,688123,buy,daily_add_cap_exceeded:30%
2025-06-26,300181,buy,daily_add_cap_exceeded:30%
2025-06-26,300805,buy,daily_add_cap_exceeded:30%
2025-06-27,600928,buy,daily_add_cap_exceeded:30%
2025-06-27,601577,buy,daily_add_cap_exceeded:30%
2025-07-14,600927,buy,daily_add_cap_exceeded:30%
2025-07-16,300961,buy,daily_add_cap_exceeded:30%
2025-07-16,603306,buy,daily_add_cap_exceeded:30%
2025-07-17,002753,buy,daily_add_cap_exceeded:30%
2025-07-17,600605,buy,daily_add_cap_exceeded:30%
2025-07-24,601577,buy,daily_add_cap_exceeded:30%
2025-07-24,603306,buy,daily_add_cap_exceeded:30%
2025-07-25,002092,buy,daily_add_cap_exceeded:30%
2025-07-25,002753,buy,daily_add_cap_exceeded:30%
2025-07-28,002753,buy,daily_add_cap_exceeded:30%
2025-07-28,300181,buy,daily_add_cap_exceeded:30%
2025-07-29,300805,buy,daily_add_cap_exceeded:30%
2025-07-29,600812,buy,daily_add_cap_exceeded:30%
2025-07-30,300805,buy,daily_add_cap_exceeded:30%
2025-07-30,600812,buy,daily_add_cap_exceeded:30%
2025-07-31,688123,buy,daily_add_cap_exceeded:30%
2025-08-01,600812,buy,daily_add_cap_exceeded:30%
2025-08-04,300805,buy,daily_add_cap_exceeded:30%
2025-08-04,301111,buy,daily_add_cap_exceeded:30%
2025-08-11,002418,buy,daily_add_cap_exceeded:30%
2025-08-11,603150,buy,daily_add_cap_exceeded:30%
2025-08-12,002591,buy,daily_add_cap_exceeded:30%
2025-08-12,300125,buy,daily_add_cap_exceeded:30%
2025-08-15,600927,buy,daily_add_cap_exceeded:30%
2025-08-18,300255,buy,daily_add_cap_exceeded:30%
2025-08-18,600927,buy,daily_add_cap_exceeded:30%
2025-08-19,002292,buy,daily_add_cap_exceeded:30%
2025-08-19,002412,buy,daily_add_cap_exceeded:30%
2025-08-20,002292,buy,daily_add_cap_exceeded:30%
2025-08-20,002412,buy,daily_add_cap_exceeded:30%
2025-09-01,002092,buy,daily_add_cap_exceeded:30%
2025-09-01,300255,buy,daily_add_cap_exceeded:30%
2025-09-02,002689,buy,daily_add_cap_exceeded:30%
2025-09-02,300567,buy,daily_add_cap_exceeded:30%
2025-09-04,002689,buy,daily_add_cap_exceeded:30%
2025-09-08,002742,buy,daily_add_cap_exceeded:30%
2025-09-08,301261,buy,daily_add_cap_exceeded:30%
2025-09-09,600231,buy,daily_add_cap_exceeded:30%
2025-09-09,600346,buy,daily_add_cap_exceeded:30%
2025-09-10,600346,buy,daily_add_cap_exceeded:30%
2025-09-11,600231,buy,daily_add_cap_exceeded:30%
2025-09-11,688577,buy,daily_add_cap_exceeded:30%
2025-09-16,600057,buy,daily_add_cap_exceeded:30%
2025-09-16,601996,buy,daily_add_cap_exceeded:30%
2025-09-18,603150,buy,daily_add_cap_exceeded:30%
2025-09-25,601108,buy,daily_add_cap_exceeded:30%
2025-09-25,603150,buy,daily_add_cap_exceeded:30%
2025-09-26,002653,buy,daily_add_cap_exceeded:30%
2025-09-26,600100,buy,daily_add_cap_exceeded:30%
2025-10-09,600346,buy,daily_add_cap_exceeded:30%
2025-10-09,603906,buy,daily_add_cap_exceeded:30%
2025-10-10,000753,buy,daily_add_cap_exceeded:30%
2025-10-10,002195,buy,daily_add_cap_exceeded:30%
2025-10-13,002092,buy,daily_add_cap_exceeded:30%
2025-10-13,002418,buy,daily_add_cap_exceeded:30%
2025-10-14,300207,buy,daily_add_cap_exceeded:30%
2025-10-14,300338,buy,daily_add_cap_exceeded:30%
2025-10-17,300338,buy,daily_add_cap_exceeded:30%
2025-10-17,600928,buy,daily_add_cap_exceeded:30%
2025-10-22,600838,buy,daily_add_cap_exceeded:30%
2025-10-22,601996,buy,daily_add_cap_exceeded:30%
2025-10-24,000816,buy,daily_add_cap_exceeded:30%
2025-10-24,002753,buy,daily_add_cap_exceeded:30%
2025-10-28,603330,buy,daily_add_cap_exceeded:30%
2025-10-28,603997,buy,daily_add_cap_exceeded:30%
2025-11-03,002425,buy,daily_add_cap_exceeded:30%
2025-11-03,002689,buy,daily_add_cap_exceeded:30%
2025-11-05,600928,buy,daily_add_cap_exceeded:30%
2025-11-11,603330,buy,daily_add_cap_exceeded:30%
2025-11-12,600168,buy,daily_add_cap_exceeded:30%
2025-11-12,600257,buy,daily_add_cap_exceeded:30%
2025-12-09,002418,buy,daily_add_cap_exceeded:30%
2025-12-09,002591,buy,daily_add_cap_exceeded:30%
2025-12-23,603906,buy,daily_add_cap_exceeded:30%
2025-12-25,600057,buy,daily_add_cap_exceeded:30%
2025-12-25,600888,buy,daily_add_cap_exceeded:30%
2025-12-26,600057,buy,daily_add_cap_exceeded:30%
2025-12-26,600346,buy,daily_add_cap_exceeded:30%
2026-01-05,605090,buy,daily_add_cap_exceeded:30%
2026-01-06,300365,buy,daily_add_cap_exceeded:30%
2026-01-06,601279,buy,daily_add_cap_exceeded:30%
2026-01-07,601279,buy,daily_add_cap_exceeded:30%
2026-01-07,603906,buy,daily_add_cap_exceeded:30%
2026-01-08,600057,buy,daily_add_cap_exceeded:30%
2026-01-08,600257,buy,daily_add_cap_exceeded:30%
2026-01-09,600346,buy,daily_add_cap_exceeded:30%
2026-01-09,603997,buy,daily_add_cap_exceeded:30%
2026-01-16,600888,buy,daily_add_cap_exceeded:30%
2026-01-16,603150,buy,daily_add_cap_exceeded:30%
2026-01-19,688308,buy,daily_add_cap_exceeded:30%
2026-01-20,300365,buy,daily_add_cap_exceeded:30%
2026-02-10,002418,buy,daily_add_cap_exceeded:30%
2026-02-10,002591,buy,daily_add_cap_exceeded:30%
2026-02-11,300319,buy,daily_add_cap_exceeded:30%
2026-02-11,300567,buy,daily_add_cap_exceeded:30%
2026-02-12,300319,buy,daily_add_cap_exceeded:30%
2026-02-12,300567,buy,daily_add_cap_exceeded:30%
2026-02-13,301111,buy,daily_add_cap_exceeded:30%
2026-02-13,600257,buy,daily_add_cap_exceeded:30%
2026-02-25,002591,buy,daily_add_cap_exceeded:30%
2026-02-25,300855,buy,daily_add_cap_exceeded:30%
2026-02-26,002591,buy,daily_add_cap_exceeded:30%
2026-02-26,300855,buy,daily_add_cap_exceeded:30%
2026-02-27,301149,buy,daily_add_cap_exceeded:30%
2026-02-27,600168,buy,daily_add_cap_exceeded:30%
2026-03-03,603306,buy,daily_add_cap_exceeded:30%
2026-03-03,605020,buy,daily_add_cap_exceeded:30%
2026-03-09,301577,buy,daily_add_cap_exceeded:30%
2026-03-11,600168,buy,daily_add_cap_exceeded:30%
2026-03-11,600455,buy,daily_add_cap_exceeded:30%
2026-03-12,600455,buy,daily_add_cap_exceeded:30%
2026-03-12,600888,buy,daily_add_cap_exceeded:30%
2026-03-13,600228,buy,daily_add_cap_exceeded:30%
2026-03-13,600455,buy,daily_add_cap_exceeded:30%
2026-04-21,601996,buy,daily_add_cap_exceeded:30%
2026-05-06,603306,buy,daily_add_cap_exceeded:30%
2026-05-07,688308,buy,daily_add_cap_exceeded:30%
2026-05-12,300319,buy,daily_add_cap_exceeded:30%
2026-05-12,600546,buy,daily_add_cap_exceeded:30%
2026-05-14,301111,buy,daily_add_cap_exceeded:30%
2026-05-14,600546,buy,daily_add_cap_exceeded:30%
2026-05-15,605090,buy,daily_add_cap_exceeded:30%
2026-05-19,605567,buy,daily_add_cap_exceeded:30%
2026-05-20,600168,buy,daily_add_cap_exceeded:30%
2026-05-20,601996,buy,daily_add_cap_exceeded:30%
2026-06-17,603306,buy,daily_add_cap_exceeded:30%
2026-06-23,600985,buy,daily_add_cap_exceeded:30%
