date,signal_date,code,side,price,qty,gross_value,fees,value,reason,signal_regime
2025-02-13,2025-02-12,600908,buy,5.7829,34500.0,199509.71,61.85,199571.55,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-02-18,,600908,sell,5.7171,34500.0,197241.33,159.77,197081.56,E1_structural_stop,
2025-02-19,2025-02-18,600908,buy,5.7929,34400.0,199275.59,61.78,199337.36,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-02-24,,600908,sell,5.6872,34400.0,195638.13,158.47,195479.67,E1_structural_stop,
2025-02-25,2025-02-24,600346,buy,15.2676,13000.0,198479.19,61.53,198540.72,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-02-26,2025-02-25,605333,buy,34.3172,5700.0,195607.76,60.64,195668.39,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-02-27,,600346,sell,15.0825,13000.0,196071.92,158.82,195913.1,E1_structural_stop,
2025-03-03,,605333,sell,32.3038,5700.0,184131.89,149.15,183982.74,E1_structural_stop,
2025-03-06,2025-03-05,300253,buy,12.3262,15800.0,194753.33,60.37,194813.7,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-03-07,2025-03-06,601577,buy,8.7744,22300.0,195668.79,60.66,195729.44,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-03-10,2025-03-07,600346,buy,15.7079,12500.0,196348.12,60.87,196408.99,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-03-11,,601577,sell,8.5857,22300.0,191461.22,155.08,191306.14,E1_structural_stop,
2025-03-11,2025-03-10,002112,buy,15.6078,12500.0,195097.5,60.48,195157.98,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-03-14,,300253,sell,11.994,15800.0,189505.2,153.5,189351.7,E2_time_stop,
2025-03-14,2025-03-13,600812,buy,6.2631,31400.0,196662.28,60.97,196723.25,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-03-17,2025-03-14,600908,buy,5.7329,34300.0,196637.27,60.96,196698.23,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-03-18,,600346,sell,15.7521,12500.0,196901.5,159.49,196742.01,E2_time_stop,
2025-03-18,2025-03-17,300667,buy,19.5198,10000.0,195197.55,60.51,195258.06,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-03-19,,002112,sell,16.7416,12500.0,209270.31,169.51,209100.8,E2_time_stop,
2025-03-19,2025-03-18,600688,buy,3.4517,57000.0,196748.33,60.99,196809.32,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-03-20,,300667,sell,18.7906,10000.0,187906.0,152.2,187753.8,E1_structural_stop,
2025-03-20,2025-03-19,002653,buy,35.1776,5500.0,193476.69,59.98,193536.67,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-03-24,,600812,sell,6.3668,31400.0,199917.99,161.93,199756.06,E2_time_stop,
2025-03-25,,600688,sell,3.2984,57000.0,188005.95,152.28,187853.67,E1_structural_stop,
2025-03-25,,600908,sell,5.7771,34300.0,198154.87,160.51,197994.37,E2_time_stop,
2025-03-28,,002653,sell,38.2209,5500.0,210214.84,170.27,210044.57,E2_time_stop,
2025-05-08,2025-05-07,601577,buy,9.1246,21600.0,197090.5,61.1,197151.59,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-05-09,2025-05-08,000958,buy,6.5933,29900.0,197139.52,61.11,197200.63,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-05-12,2025-05-09,000557,buy,5.4027,36600.0,197738.82,61.3,197800.12,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-05-13,,000958,sell,6.5767,29900.0,196643.63,159.28,196484.35,E1_structural_stop,
2025-05-13,2025-05-12,002742,buy,3.972,49800.0,197804.85,61.32,197866.17,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-05-14,,000557,sell,5.3473,36600.0,195712.1,158.53,195553.57,E1_structural_stop,
2025-05-16,,601577,sell,9.5652,21600.0,206608.64,167.35,206441.29,E2_time_stop,
2025-05-16,2025-05-15,002422,buy,35.0175,5700.0,199599.75,61.88,199661.63,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-05-19,2025-05-16,600887,buy,29.915,6700.0,200430.17,62.13,200492.3,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-05-20,2025-05-19,000557,buy,5.3627,37800.0,202709.3,62.84,202772.14,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-05-21,,002742,sell,4.2979,49800.0,214032.93,173.37,213859.56,E2_time_stop,
2025-05-21,2025-05-20,600455,buy,25.7229,7900.0,203210.55,63.0,203273.55,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-05-22,2025-05-21,002742,buy,4.3922,46400.0,203797.85,63.18,203861.03,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-05-23,,600455,sell,24.9775,7900.0,197322.29,159.83,197162.46,E1_structural_stop,
2025-05-23,,000557,sell,5.2274,37800.0,197595.15,160.05,197435.1,E1_structural_stop,
2025-05-26,,002422,sell,39.3303,5700.0,224182.85,181.59,224001.26,E2_time_stop,
2025-05-26,2025-05-23,000677,buy,5.6628,35900.0,203295.6,63.02,203358.62,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-05-27,,600887,sell,30.7846,6700.0,206256.82,167.07,206089.75,E2_time_stop,
2025-05-30,,002742,sell,4.2579,46400.0,197565.17,160.03,197405.14,E2_time_stop,
2025-05-30,2025-05-29,002195,buy,5.6828,36400.0,206855.38,64.13,206919.5,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-06-04,,000677,sell,6.1569,35900.0,221033.43,179.04,220854.39,E2_time_stop,
2025-06-04,2025-06-03,002591,buy,5.6928,36400.0,207219.56,64.24,207283.8,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-06-05,2025-06-04,002653,buy,45.6928,4500.0,205617.76,63.74,205681.5,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-06-06,2025-06-05,300961,buy,18.009,11400.0,205302.6,63.64,205366.24,月线背景+周线趋势+周级动能active_up+日线标签命中，大盘bull+分批建议：盘中试探仓 + 14:45尾盘确认,bull
2025-06-09,,002653,sell,42.9485,4500.0,193268.32,156.55,193111.77,E1_structural_stop,
